# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
2.675791277195297880e+04 -4.925884705552093801e+05 -9.726943663981974169e+03 1.046237760297981004e+05 1.044660062237612001e+05 -6.717346951498205308e+05 6.847616421683137305e+06 -6.539549152429056354e+06 3.122941699338195613e+05 1.428124939136428060e+06
-4.925884705552093801e+05 1.577667359495111741e+07 1.809850174387869192e+05 -1.996397027594400803e+06 -2.757120530429442413e+06 1.944605149176615849e+07 2.910899726486775279e+07 1.208005549564196467e+08 -1.852229458101176098e+07 -5.328302599657034874e+07
-9.726943663981974169e+03 1.809850174387869192e+05 4.668643516079433539e+03 -3.554985336969421041e+04 -3.574827248506539036e+04 2.459178839624723478e+05 -2.453405108220388182e+06 2.217304511540657841e+06 -1.325943494218879496e+05 -4.940848241255999892e+05
1.046237760297981004e+05 -1.996397027594400803e+06 -3.554985336969421041e+04 4.510637604916084674e+05 4.406260422481113346e+05 -2.672782576606868301e+06 2.924634138429895416e+07 -2.792208435388572142e+07 1.098896470112411538e+06 6.101325090711991303e+06
1.044660062237612001e+05 -2.757120530429442413e+06 -3.574827248506539036e+04 4.406260422481113346e+05 5.600237973722649040e+05 -3.679427572013510391e+06 -5.367299340213286923e+05 -2.747167483942660689e+07 2.648381515854164958e+06 9.878561613833332434e+06
-6.717346951498205308e+05 1.944605149176615849e+07 2.459178839624723478e+05 -2.672782576606868301e+06 -3.679427572013510391e+06 2.575251240354247391e+07 4.871734445170652866e+07 1.656275145567758381e+08 -2.148370521088639274e+07 -7.017478130138598382e+07
6.847616421683137305e+06 2.910899726486775279e+07 -2.453405108220388182e+06 2.924634138429895416e+07 -5.367299340213286923e+05 4.871734445170652866e+07 1.086528094583781815e+10 -1.801428564569517136e+09 -2.395499140248005390e+08 -4.990863033699505925e+08
-6.539549152429056354e+06 1.208005549564196467e+08 2.217304511540657841e+06 -2.792208435388572142e+07 -2.747167483942660689e+07 1.656275145567758381e+08 -1.801428564569517136e+09 1.752281327532567739e+09 -6.185410319939741492e+07 -3.444024153828707337e+08
3.122941699338195613e+05 -1.852229458101176098e+07 -1.325943494218879496e+05 1.098896470112411538e+06 2.648381515854164958e+06 -2.148370521088639274e+07 -2.395499140248005390e+08 -6.185410319939741492e+07 2.961715195892003924e+07 6.753981062490189075e+07
1.428124939136428060e+06 -5.328302599657034874e+07 -4.940848241255999892e+05 6.101325090711991303e+06 9.878561613833332434e+06 -7.017478130138598382e+07 -4.990863033699505925e+08 -3.444024153828707337e+08 6.753981062490189075e+07 5.837246005001063347e+08
