# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
2.760867951306159375e+04 -5.086872938430376817e+05 -9.159171705473200120e+01 1.080554576810590515e+05 1.071907833911333000e+05 -6.935322942390197422e+05 7.043157241013357416e+06 -6.733916795492241159e+06 3.238918350283578038e+05 1.458258156960294349e+06
-5.086872938430376817e+05 1.609435805226876587e+07 1.713719931296069262e+03 -2.060583791026954073e+06 -2.808913421046628617e+06 1.986767788162442669e+07 2.549878931616079807e+07 1.244208628857506663e+08 -1.877172583073659614e+07 -5.387891672939080000e+07
-9.159171705473200120e+01 1.713719931296069262e+03 4.575132354024400994e-01 -3.348101326511687148e+02 -3.330858108080299758e+02 2.334887776151118487e+03 -2.318411194432815319e+04 2.077774982992377409e+04 -1.272391351279914488e+03 -4.561613010128727183e+03
1.080554576810590515e+05 -2.060583791026954073e+06 -3.348101326511687148e+02 4.647079390897872509e+05 4.516483424508110620e+05 -2.759895313435979653e+06 3.004678108743651584e+07 -2.870224301147863269e+07 1.144882714269326301e+06 6.225186653202145360e+06
1.071907833911333000e+05 -2.808913421046628617e+06 -3.330858108080299758e+02 4.516483424508110620e+05 5.684704416921657976e+05 -3.748981413150309119e+06 7.868353722327531432e+04 -2.808744840475502238e+07 2.686464804885525256e+06 9.968331999519139528e+06
-6.935322942390197422e+05 1.986767788162442669e+07 2.334887776151118487e+03 -2.759895313435979653e+06 -3.748981413150309119e+06 2.631954621324367076e+07 4.370966749390830845e+07 1.705497966045851111e+08 -2.180330311764339358e+07 -7.095490550825634599e+07
7.043157241013357416e+06 2.549878931616079807e+07 -2.318411194432815319e+04 3.004678108743651584e+07 7.868353722327531432e+04 4.370966749390830845e+07 1.091105576567295265e+10 -1.846585080136522055e+09 -2.371077498135223985e+08 -4.926737394757598639e+08
-6.733916795492241159e+06 1.244208628857506663e+08 2.077774982992377409e+04 -2.870224301147863269e+07 -2.808744840475502238e+07 1.705497966045851111e+08 -1.846585080136522055e+09 1.796562240152412176e+09 -6.441256029473355412e+07 -3.511163287335039973e+08
3.238918350283578038e+05 -1.877172583073659614e+07 -1.272391351279914488e+03 1.144882714269326301e+06 2.686464804885525256e+06 -2.180330311764339358e+07 -2.371077498135223985e+08 -6.441256029473355412e+07 2.983940834415555745e+07 6.800915413022738695e+07
1.458258156960294349e+06 -5.387891672939080000e+07 -4.561613010128727183e+03 6.225186653202145360e+06 9.968331999519139528e+06 -7.095490550825634599e+07 -4.926737394757598639e+08 -3.511163287335039973e+08 6.800915413022738695e+07 5.846216455987770557e+08
