# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.197442916946283355e+07 6.179574495015552884e+02 -1.710007069821741879e+08 -2.979115688094619662e+06 -1.493068608050282858e+07 -3.509723659988144413e+06 2.455386393091078103e+07 -5.246511827432563901e+07 1.809961579309908301e+07 2.024525341117372215e+08 4.070149657679442316e+07
6.179574495015552884e+02 2.062264473900386752e-02 -2.658875667813216296e+03 -4.245777814069437284e+01 -2.029754116626016582e+02 -4.946478094136480763e+01 3.531007285389968615e+02 -7.186792217730451284e+02 2.542270499419577732e+02 2.909870715121351168e+03 9.495661077965219192e+02
-1.710007069821741879e+08 -2.658875667813216296e+03 1.506829172051803780e+10 8.963414985560804605e+07 1.278740861463924199e+08 5.902678297568506002e+07 -1.733725769541227818e+08 2.800498917541384101e+08 -3.714294883242840171e+08 -4.981861796973114014e+09 -1.995219507459255457e+08
-2.979115688094619662e+06 -4.245777814069437284e+01 8.963414985560804605e+07 1.619360269303902518e+06 7.904910956613331102e+06 1.666266674983796431e+06 -7.874776866695991717e+06 2.472604103141529486e+07 -9.548620179337706417e+06 -9.212517512907277048e+07 -2.995279576424406841e+06
-1.493068608050282858e+07 -2.029754116626016582e+02 1.278740861463924199e+08 7.904910956613331102e+06 6.902203669639791548e+07 9.608087125115498900e+06 -5.026801435957083851e+07 1.743405167792075872e+08 -6.210509631458642334e+07 -4.281364706860973239e+08 -1.456500746408937871e+07
-3.509723659988144413e+06 -4.946478094136480763e+01 5.902678297568506002e+07 1.666266674983796431e+06 9.608087125115498900e+06 1.868534453463512240e+06 -9.549973071875529364e+06 3.028207205418580770e+07 -1.057918600866376609e+07 -9.615972081524047256e+07 -3.467341180227470119e+06
2.455386393091078103e+07 3.531007285389968615e+02 -1.733725769541227818e+08 -7.874776866695991717e+06 -5.026801435957083851e+07 -9.549973071875529364e+06 5.460747660094816238e+07 -1.632379726146758497e+08 5.255355430474939942e+07 4.739422144579697847e+08 2.506296410497652739e+07
-5.246511827432563901e+07 -7.186792217730451284e+02 2.800498917541384101e+08 2.472604103141529486e+07 1.743405167792075872e+08 3.028207205418580770e+07 -1.632379726146758497e+08 7.238783121951904297e+08 -1.728217205298187435e+08 -1.409616650918430805e+09 -4.972262361571750790e+07
1.809961579309908301e+07 2.542270499419577732e+02 -3.714294883242840171e+08 -9.548620179337706417e+06 -6.210509631458642334e+07 -1.057918600866376609e+07 5.255355430474939942e+07 -1.728217205298187435e+08 6.420576941687208414e+07 5.326053436625373960e+08 1.806738278565484285e+07
2.024525341117372215e+08 2.909870715121351168e+03 -4.981861796973114014e+09 -9.212517512907277048e+07 -4.281364706860973239e+08 -9.615972081524047256e+07 4.739422144579697847e+08 -1.409616650918430805e+09 5.326053436625373960e+08 5.363418422397243500e+09 2.057810718611901104e+08
4.070149657679442316e+07 9.495661077965219192e+02 -1.995219507459255457e+08 -2.995279576424406841e+06 -1.456500746408937871e+07 -3.467341180227470119e+06 2.506296410497652739e+07 -4.972262361571750790e+07 1.806738278565484285e+07 2.057810718611901104e+08 5.695936425378286093e+07
