# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.191224107118894905e+07 -6.788763153137363261e+05 1.388308692973307148e+07 1.959806835855808094e+04 -2.389764207145332824e+06 4.060553458451765031e+07 -2.503416564460843336e+06 1.812146355084457994e+07 -1.468367747294683456e+08 1.472018482180214226e+08 -1.233953216570792161e+07 -3.726584382356778532e+07
-6.788763153137363261e+05 2.762329878842665494e+04 -5.089492273682798259e+05 -3.272000462844965796e+02 1.081104464754570072e+05 -7.545126311248631682e+05 1.072347214531210193e+05 -6.938871797739025205e+05 7.046304766576654278e+06 -6.737065579777707346e+06 3.240844757842277177e+05 1.458748027354953578e+06
1.388308692973307148e+07 -5.089492273682798259e+05 1.609922399990575761e+07 6.355991228148318442e+03 -2.061562237894571153e+06 1.487842958275583200e+07 -2.809696580624243245e+06 1.987414153574408218e+07 2.544429697924209759e+07 1.244764222572581619e+08 -1.877557842659600452e+07 -5.388784381637192518e+07
1.959806835855808094e+04 -3.272000462844965796e+02 6.355991228148318442e+03 1.749148953176737109e+01 -1.158432000801192316e+03 2.976785875718700117e+04 -1.157140772358626009e+03 8.617112221155095540e+03 -8.273995047912524024e+04 7.139956191180860333e+04 -5.228847334156838770e+03 -1.600323093908122610e+04
-2.389764207145332824e+06 1.081104464754570072e+05 -2.061562237894571153e+06 -1.158432000801192316e+03 4.649143163651711657e+05 -2.652877005206800997e+06 4.518137934551081271e+05 -2.761223488264569547e+06 3.005875087629688159e+07 -2.871410154774007574e+07 1.145594564380977768e+06 6.227031484593259171e+06
4.060553458451765031e+07 -7.545126311248631682e+05 1.487842958275583200e+07 2.976785875718700117e+04 -2.652877005206800997e+06 5.680141742641338706e+07 -2.677754732987521216e+06 1.978535070875459537e+07 -1.860986600908118486e+08 1.633413183732135892e+08 -1.263204056997812912e+07 -3.773512259638881683e+07
-2.503416564460843336e+06 1.072347214531210193e+05 -2.809696580624243245e+06 -1.157140772358626009e+03 4.518137934551081271e+05 -2.677754732987521216e+06 5.685960462040647399e+05 -3.750033277277410962e+06 8.778341590434842510e+04 -2.809675423546425626e+07 2.687048941144902725e+06 9.969652434724893421e+06
1.812146355084457994e+07 -6.938871797739025205e+05 1.987414153574408218e+07 8.617112221155095540e+03 -2.761223488264569547e+06 1.978535070875459537e+07 -3.750033277277410962e+06 2.632824437358872592e+07 4.363421290320896357e+07 1.706253437767459154e+08 -2.180825225605704635e+07 -7.096659419282153249e+07
-1.468367747294683456e+08 7.046304766576654278e+06 2.544429697924209759e+07 -8.273995047912524024e+04 3.005875087629688159e+07 -1.860986600908118486e+08 8.778341590434842510e+04 4.363421290320896357e+07 1.091172535755335426e+10 -1.847264130966371059e+09 -2.370700836687372327e+08 -4.925800344019336104e+08
1.472018482180214226e+08 -6.737065579777707346e+06 1.244764222572581619e+08 7.139956191180860333e+04 -2.871410154774007574e+07 1.633413183732135892e+08 -2.809675423546425626e+07 1.706253437767459154e+08 -1.847264130966371059e+09 1.797239539333896399e+09 -6.445253005259652436e+07 -3.512172204776234031e+08
-1.233953216570792161e+07 3.240844757842277177e+05 -1.877557842659600452e+07 -5.228847334156838770e+03 1.145594564380977768e+06 -1.263204056997812912e+07 2.687048941144902725e+06 -2.180825225605704635e+07 -2.370700836687372327e+08 -6.445253005259652436e+07 2.984283306836471334e+07 6.801626355941842496e+07
-3.726584382356778532e+07 1.458748027354953578e+06 -5.388784381637192518e+07 -1.600323093908122610e+04 6.227031484593259171e+06 -3.773512259638881683e+07 9.969652434724893421e+06 -7.096659419282153249e+07 -4.925800344019336104e+08 -3.512172204776234031e+08 6.801626355941842496e+07 5.846345832535549402e+08
