# HMCode_logT_AGN ombh2 mnu tau nnu ns theta logA omch2
4.850759551041542727e+04 1.197419698669900000e+07 2.219521735073901364e+05 8.708670857582964236e+05 2.281379505885677936e+05 -1.362970355211269576e+06 3.363044102998980321e+06 -1.156188661055229837e+06 -1.333747109501889721e+07
1.197419698669900000e+07 1.538664333828885841e+10 9.360918185437382758e+07 1.314633340735989809e+08 5.939723255298578739e+07 -1.807106740667206645e+08 2.819868229611659050e+08 -3.749078592790594697e+08 -5.068722660981277466e+09
2.219521735073901364e+05 9.360918185437382758e+07 1.655646377183956094e+06 7.796211408620619215e+06 1.634214447221176000e+06 -7.785134436615054496e+06 2.418118134883534908e+07 -9.401277617987537757e+06 -9.151189558045697212e+07
8.708670857582964236e+05 1.314633340735989809e+08 7.796211408620619215e+06 6.719389305551338196e+07 9.190917015593606979e+06 -4.795405772386425734e+07 1.676544266625439525e+08 -5.995211140251916647e+07 -4.096992473408449888e+08
2.281379505885677936e+05 5.939723255298578739e+07 1.634214447221176000e+06 9.190917015593606979e+06 1.757005931929185987e+06 -8.969646464931841940e+06 2.855162910761194676e+07 -1.003182886070617288e+07 -9.101255190487901866e+07
-1.362970355211269576e+06 -1.807106740667206645e+08 -7.785134436615054496e+06 -4.795405772386425734e+07 -8.969646464931841940e+06 5.175027327727405727e+07 -1.539966814973573089e+08 4.966907716398938745e+07 4.487284271262457371e+08
3.363044102998980321e+06 2.819868229611659050e+08 2.418118134883534908e+07 1.676544266625439525e+08 2.855162910761194676e+07 -1.539966814973573089e+08 6.969136315756783485e+08 -1.642443101191761196e+08 -1.329074096136302471e+09
-1.156188661055229837e+06 -3.749078592790594697e+08 -9.401277617987537757e+06 -5.995211140251916647e+07 -1.003182886070617288e+07 4.966907716398938745e+07 -1.642443101191761196e+08 6.147366370518124849e+07 5.078628778971052766e+08
-1.333747109501889721e+07 -5.068722660981277466e+09 -9.151189558045697212e+07 -4.096992473408449888e+08 -9.101255190487901866e+07 4.487284271262457371e+08 -1.329074096136302471e+09 5.078628778971052766e+08 5.140516137465314865e+09
