# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.135529203290547431e+07 3.979010448083176743e+05 -1.688711208885681033e+08 -2.941336206828284077e+06 -1.475847749986090325e+07 -3.473115754083311185e+06 2.425531242804026231e+07 -5.200983731015934795e+07 1.788509245618370548e+07 2.000468793556070328e+08 3.977464307107222080e+07
3.979010448083176743e+05 5.827373060196071492e+03 -1.954204204770887736e+06 -2.971842325036902912e+04 -1.413850161080759135e+05 -3.442606857479593600e+04 2.463849669046224153e+05 -4.946758883357643499e+05 1.776765680101845355e+05 2.039538282212599646e+06 5.660708021668138681e+05
-1.688711208885681033e+08 -1.954204204770887736e+06 1.505697450756849098e+10 8.940584463509327173e+07 1.270208593590735197e+08 5.881942676278942078e+07 -1.717622594031743109e+08 2.775854860805784464e+08 -3.702512896384664774e+08 -4.967699732650302887e+09 -1.967668078207719922e+08
-2.941336206828284077e+06 -2.971842325036902912e+04 8.940584463509327173e+07 1.614820642513444647e+06 7.886944866430842318e+06 1.661997533540962730e+06 -7.842899993457437493e+06 2.467288751763318107e+07 -9.524570487532464787e+06 -9.184189890831978619e+07 -2.948726278131641913e+06
-1.475847749986090325e+07 -1.413850161080759135e+05 1.270208593590735197e+08 7.886944866430842318e+06 6.893918316341006756e+07 9.591108765596911311e+06 -5.013747085846273601e+07 1.741235179160789847e+08 -6.200419325305853784e+07 -4.270263323521983624e+08 -1.435369023371564969e+07
-3.473115754083311185e+06 -3.442606857479593600e+04 5.881942676278942078e+07 1.661997533540962730e+06 9.591108765596911311e+06 1.864691652151382994e+06 -9.520363360538633540e+06 3.023617751826763898e+07 -1.055671683056446351e+07 -9.589776273751133680e+07 -3.422257700936124194e+06
2.425531242804026231e+07 2.463849669046224153e+05 -1.717622594031743109e+08 -7.842899993457437493e+06 -5.013747085846273601e+07 -9.520363360538633540e+06 5.438072674235155433e+07 -1.628743072836990952e+08 5.238264281306081265e+07 4.719655913972617984e+08 2.468516031660571694e+07
-5.200983731015934795e+07 -4.946758883357643499e+05 2.775854860805784464e+08 2.467288751763318107e+07 1.741235179160789847e+08 3.023617751826763898e+07 -1.628743072836990952e+08 7.233465239304041862e+08 -1.725416134225945175e+08 -1.406413308436314821e+09 -4.917286536796496809e+07
1.788509245618370548e+07 1.776765680101845355e+05 -3.702512896384664774e+08 -9.524570487532464787e+06 -6.200419325305853784e+07 -1.055671683056446351e+07 5.238264281306081265e+07 -1.725416134225945175e+08 6.407576333567340672e+07 5.311140401390580535e+08 1.780231935743808001e+07
2.000468793556070328e+08 2.039538282212599646e+06 -4.967699732650302887e+09 -9.184189890831978619e+07 -4.270263323521983624e+08 -9.589776273751133680e+07 4.719655913972617984e+08 -1.406413308436314821e+09 5.311140401390580535e+08 5.345854110318697929e+09 2.027917873391217589e+08
3.977464307107222080e+07 5.660708021668138681e+05 -1.967668078207719922e+08 -2.948726278131641913e+06 -1.435369023371564969e+07 -3.422257700936124194e+06 2.468516031660571694e+07 -4.917286536796496809e+07 1.780231935743808001e+07 2.027917873391217589e+08 5.547814347163593769e+07
