# logA mnu nnu ns ombh2 omch2 tau theta
6.420720921483318508e+07 -9.548884269663099200e+06 -1.057943418099169619e+07 5.255544961386366934e+07 -3.714424457095018625e+08 5.326218762541039586e+08 -6.210622094442043453e+07 -1.728248230775693357e+08
-9.548884269663099200e+06 1.620160624983267160e+06 1.665547876943114679e+06 -7.875127620909037068e+06 8.962366837389242649e+07 -9.208928664365470409e+07 7.905109496422621422e+06 2.469340021217044815e+07
-1.057943418099169619e+07 1.665547876943114679e+06 1.869357318241085857e+06 -9.550300926232427359e+06 5.904221649586662650e+07 -9.620238607963877916e+07 9.608275942619543523e+06 3.031647893187392130e+07
5.255544961386366934e+07 -7.875127620909037068e+06 -9.550300926232427359e+06 5.461000497712328285e+07 -1.733903005358294249e+08 4.739642001852717400e+08 -5.026947007404019684e+07 -1.632420090629209578e+08
-3.714424457095018625e+08 8.962366837389242649e+07 5.904221649586662650e+07 -1.733903005358294249e+08 1.506871203504001999e+10 -4.982687941365416527e+09 1.278835455845633447e+08 2.806169145836094618e+08
5.326218762541039586e+08 -9.208928664365470409e+07 -9.620238607963877916e+07 4.739642001852717400e+08 -4.982687941365416527e+09 5.365639570769933701e+09 -4.281488569134690166e+08 -1.411379567239233017e+09
-6.210622094442043453e+07 7.905109496422621422e+06 9.608275942619543523e+06 -5.026947007404019684e+07 1.278835455845633447e+08 -4.281488569134690166e+08 6.902296511830559373e+07 1.743429378577983677e+08
-1.728248230775693357e+08 2.469340021217044815e+07 3.031647893187392130e+07 -1.632420090629209578e+08 2.806169145836094618e+08 -1.411379567239233017e+09 1.743429378577983677e+08 7.253698838046594858e+08
