# logA m_wdm mnu nnu ns ombh2 omch2 tau theta
1.715181806140167639e+07 1.113334366245267404e+02 -2.078698067681742134e+06 -3.026910858839557040e+06 2.095971149974201992e+07 2.894432116808227077e+07 1.338426886456565708e+08 -1.963441482298198342e+07 -5.741016278182121366e+07
1.113334366245267404e+02 1.729225003157968711e-03 -1.950983678644309549e+01 -2.186024414314878683e+01 1.496077478572984489e+02 -1.310174005150592848e+03 1.316457807641335648e+03 -8.377839376787451897e+01 -3.063947923725754663e+02
-2.078698067681742134e+06 -1.950983678644309549e+01 4.353472321587383631e+05 4.581762578568065073e+05 -2.724247707167989574e+06 2.736655723435929418e+07 -2.842153966494180635e+07 1.155877596783929039e+06 6.378958950943541713e+06
-3.026910858839557040e+06 -2.186024414314878683e+01 4.581762578568065073e+05 6.148852376847756095e+05 -3.977025967388711870e+06 -3.217521989608074073e+05 -3.019553240440774709e+07 2.845697669458042365e+06 1.068834539050075598e+07
2.095971149974201992e+07 1.496077478572984489e+02 -2.724247707167989574e+06 -3.977025967388711870e+06 2.737320703522386029e+07 5.145106633126948774e+07 1.794516765587706268e+08 -2.270022681471248716e+07 -7.472375788059487939e+07
2.894432116808227077e+07 -1.310174005150592848e+03 2.736655723435929418e+07 -3.217521989608074073e+05 5.145106633126948774e+07 1.069156870463692284e+10 -1.780733519403792143e+09 -2.404835608510709703e+08 -4.949514104137129784e+08
1.338426886456565708e+08 1.316457807641335648e+03 -2.842153966494180635e+07 -3.019553240440774709e+07 1.794516765587706268e+08 -1.780733519403792143e+09 1.882635154718861103e+09 -7.079370181721445918e+07 -3.842520690054546595e+08
-1.963441482298198342e+07 -8.377839376787451897e+01 1.155877596783929039e+06 2.845697669458042365e+06 -2.270022681471248716e+07 -2.404835608510709703e+08 -7.079370181721445918e+07 3.072199741019546241e+07 7.082115767561984062e+07
-5.741016278182121366e+07 -3.063947923725754663e+02 6.378958950943541713e+06 1.068834539050075598e+07 -7.472375788059487939e+07 -4.949514104137129784e+08 -3.842520690054546595e+08 7.082115767561984062e+07 5.959021649841493368e+08
