# HMCode_logT_AGN logA mnu nnu ns ombh2 omch2 tau theta
4.850759551041542727e+04 -1.156188661055229837e+06 2.219521735073901364e+05 2.281379505885677936e+05 -1.362970355211269576e+06 1.197419698669900000e+07 -1.333747109501889721e+07 8.708670857582964236e+05 3.363044102998980321e+06
-1.156188661055229837e+06 6.147366370518124849e+07 -9.401277617987537757e+06 -1.003182886070617288e+07 4.966907716398938745e+07 -3.749078592790594697e+08 5.078628778971052766e+08 -5.995211140251916647e+07 -1.642443101191761196e+08
2.219521735073901364e+05 -9.401277617987537757e+06 1.656397263125077588e+06 1.633448920664867619e+06 -7.785134436615054496e+06 9.359620962608174980e+07 -9.147289288394586742e+07 7.796211408620619215e+06 2.414795798298493773e+07
2.281379505885677936e+05 -1.003182886070617288e+07 1.633448920664867619e+06 1.757786433155491250e+06 -8.969646464931841940e+06 5.941039804244888574e+07 -9.105231796636176109e+07 9.190917015593606979e+06 2.858552785495315865e+07
-1.362970355211269576e+06 4.966907716398938745e+07 -7.785134436615054496e+06 -8.969646464931841940e+06 5.175027327727405727e+07 -1.807106740667206645e+08 4.487284271262457371e+08 -4.795405772386425734e+07 -1.539966814973573089e+08
1.197419698669900000e+07 -3.749078592790594697e+08 9.359620962608174980e+07 5.941039804244888574e+07 -1.807106740667206645e+08 1.538694071048955345e+10 -5.069392908390354156e+09 1.314633340735989809e+08 2.825268980040135384e+08
-1.333747109501889721e+07 5.078628778971052766e+08 -9.147289288394586742e+07 -9.105231796636176109e+07 4.487284271262457371e+08 -5.069392908390354156e+09 5.142542197724076271e+09 -4.096992473408449888e+08 -1.330801438392667770e+09
8.708670857582964236e+05 -5.995211140251916647e+07 7.796211408620619215e+06 9.190917015593606979e+06 -4.795405772386425734e+07 1.314633340735989809e+08 -4.096992473408449888e+08 6.719389305551338196e+07 1.676544266625439525e+08
3.363044102998980321e+06 -1.642443101191761196e+08 2.414795798298493773e+07 2.858552785495315865e+07 -1.539966814973573089e+08 2.825268980040135384e+08 -1.330801438392667770e+09 1.676544266625439525e+08 6.983992927353796959e+08
