# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.197442916946283355e+07 6.035998007719705356e+02 -1.306571022937930524e+08 -2.239824459858009126e+06 -1.323208597767165303e+07 -2.665579588096530177e+06 1.887388560131322592e+07 -4.057396895864228159e+07 1.466473540899544023e+07 1.508598042595981658e+08 4.070149657679442316e+07
6.035998007719705356e+02 2.029121830039168004e-02 -2.166046795801914868e+03 -3.275520762449423273e+01 -1.736411429997107803e+02 -3.817731055288224695e+01 2.770627420805716383e+02 -5.542495740193162419e+02 2.054843339386957268e+02 2.238321394053561107e+03 9.361107171071273569e+02
-1.306571022937930524e+08 -2.166046795801914868e+03 1.069135513254919815e+10 2.738113101910513639e+07 -2.404779516006163359e+08 -3.335528179119190900e+05 5.143989413829615712e+07 -4.954769940773996711e+08 2.893626132598187029e+07 -1.780163156940762997e+09 -1.674495794799477756e+08
-2.239824459858009126e+06 -3.275520762449423273e+01 2.738113101910513639e+07 4.346255614961048122e+05 1.155992471941389609e+06 4.589682877035075217e+05 -2.724456315228938591e+06 6.412489988544746302e+06 -2.078852877237920184e+06 -2.846238607817953825e+07 -2.468124432177294977e+06
-1.323208597767165303e+07 -1.736411429997107803e+02 -2.404779516006163359e+08 1.155992471941389609e+06 3.072264336039774492e+07 2.845805688675780781e+06 -2.270113039197391644e+07 7.082253246292944252e+07 -1.963512188728078827e+07 -7.080083302390463650e+07 -1.360778172657741979e+07
-2.665579588096530177e+06 -3.817731055288224695e+01 -3.335528179119190900e+05 4.589682877035075217e+05 2.845805688675780781e+06 6.141276228470659116e+05 -3.977214677296256647e+06 1.065469975762687624e+07 -3.027051911514041480e+06 -3.015740955129650235e+07 -2.862600988750086166e+06
1.887388560131322592e+07 2.770627420805716383e+02 5.143989413829615712e+07 -2.724456315228938591e+06 -2.270113039197391644e+07 -3.977214677296256647e+06 2.737474567216577381e+07 -7.472595939179205894e+07 2.096085844423045218e+07 1.794647776452787817e+08 2.071069368173623830e+07
-4.057396895864228159e+07 -5.542495740193162419e+02 -4.954769940773996711e+08 6.412489988544746302e+06 7.082253246292944252e+07 1.065469975762687624e+07 -7.472595939179205894e+07 5.944191630251132250e+08 -5.741184447271898389e+07 -3.825433841285694838e+08 -4.156466412278714031e+07
1.466473540899544023e+07 2.054843339386957268e+02 2.893626132598187029e+07 -2.078852877237920184e+06 -1.963512188728078827e+07 -3.027051911514041480e+06 2.096085844423045218e+07 -5.741184447271898389e+07 1.715268687888669223e+07 1.338523717737285346e+08 1.572376929680789448e+07
1.508598042595981658e+08 2.238321394053561107e+03 -1.780163156940762997e+09 -2.846238607817953825e+07 -7.080083302390463650e+07 -3.015740955129650235e+07 1.794647776452787817e+08 -3.825433841285694838e+08 1.338523717737285346e+08 1.880724958376124859e+09 1.675464977255867124e+08
4.070149657679442316e+07 9.361107171071273569e+02 -1.674495794799477756e+08 -2.468124432177294977e+06 -1.360778172657741979e+07 -2.862600988750086166e+06 2.071069368173623830e+07 -4.156466412278714031e+07 1.572376929680789448e+07 1.675464977255867124e+08 5.695936425378286093e+07
