# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.745852656702201784e+04 -6.711807460749610327e+05 -7.119275564587463123e+03 7.010156556681496091e+06 1.074774535036468733e+05 3.218909399539805599e+05 1.067303500776947039e+05 -6.898238745529084699e+05 1.453140823599739699e+06 -5.059492577159279026e+05 -6.700960241539459676e+06 -7.443681277163587511e+05
-6.711807460749610327e+05 3.135529203290547431e+07 3.871699716045634123e+05 -1.451058869910987020e+08 -2.360587026267798152e+06 -1.220860579699968547e+07 -2.478645867428161670e+06 1.791329492323755845e+07 -3.696477440953736007e+07 1.372821290565838292e+07 1.455293532617006898e+08 3.977464307107222825e+07
-7.119275564587463123e+03 3.871699716045634123e+05 5.623708807557155524e+03 -1.778106382574932883e+06 -2.518513807324393201e+04 -1.151763094102163159e+05 -2.535063103447686808e+04 1.866960420171380392e+05 -3.544964350066753686e+05 1.389326737114714051e+05 1.554127203749107895e+06 5.552323366348780692e+05
7.010156556681496091e+06 -1.451058869910987020e+08 -1.778106382574932883e+06 1.090350225210178757e+10 2.993096962043224275e+07 -2.375087795446871519e+08 -3.263229410944247502e+04 4.451909533267880976e+07 -4.942274028325056434e+08 2.608289926589387655e+07 -1.838629309279963255e+09 -1.837106236817213297e+08
1.074774535036468733e+05 -2.360587026267798152e+06 -2.518513807324393201e+04 2.993096962043224275e+07 4.617440115817414480e+05 1.137307634200137109e+06 4.506371047461319831e+05 -2.745695069337108172e+06 6.238562567108544521e+06 -2.050123262880472001e+06 -2.861438771359466761e+07 -2.614150822151973844e+06
3.218909399539805599e+05 -1.220860579699968547e+07 -1.151763094102163159e+05 -2.375087795446871519e+08 1.137307634200137109e+06 2.980291503109555691e+07 2.680238301412015688e+06 -2.175066830433002114e+07 6.793311773958984017e+07 -1.873072081601132080e+07 -6.398892201682789624e+07 -1.246519059072914347e+07
1.067303500776947039e+05 -2.478645867428161670e+06 -2.535063103447686808e+04 -3.263229410944247502e+04 4.506371047461319831e+05 2.680238301412015688e+06 5.663386601461584214e+05 -3.737719438384907320e+06 9.920190744966987520e+06 -2.800528857381074224e+06 -2.794806114539697394e+07 -2.645124548519583885e+06
-6.898238745529084699e+05 1.791329492323755845e+07 1.866960420171380392e+05 4.451909533267880976e+07 -2.745695069337108172e+06 -2.175066830433002114e+07 -3.737719438384907320e+06 2.622677038928968087e+07 -7.082949308759400249e+07 1.979873371526497975e+07 1.697445836531650424e+08 1.950712872890542448e+07
1.453140823599739699e+06 -3.696477440953736007e+07 -3.544964350066753686e+05 -4.942274028325056434e+08 6.238562567108544521e+06 6.793311773958984017e+07 9.920190744966987520e+06 -7.082949308759400249e+07 5.829956672159069777e+08 -5.378313061517037451e+07 -3.483078789636545777e+08 -3.734874232483543456e+07
-5.059492577159279026e+05 1.372821290565838292e+07 1.389326737114714051e+05 2.608289926589387655e+07 -2.050123262880472001e+06 -1.873072081601132080e+07 -2.800528857381074224e+06 1.979873371526497975e+07 -5.378313061517037451e+07 1.604244543957559019e+07 1.238287265246672034e+08 1.467591351940197125e+07
-6.700960241539459676e+06 1.455293532617006898e+08 1.554127203749107895e+06 -1.838629309279963255e+09 -2.861438771359466761e+07 -6.398892201682789624e+07 -2.794806114539697394e+07 1.697445836531650424e+08 -3.483078789636545777e+08 1.238287265246672034e+08 1.787311552476430655e+09 1.611147186539442539e+08
-7.443681277163587511e+05 3.977464307107222825e+07 5.552323366348780692e+05 -1.837106236817213297e+08 -2.614150822151973844e+06 -1.246519059072914347e+07 -2.645124548519583885e+06 1.950712872890542448e+07 -3.734874232483543456e+07 1.467591351940197125e+07 1.611147186539442539e+08 5.547814347163593769e+07
