# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
4.850333395465063950e+04 -2.775754176581755495e+00 1.197334865578353405e+07 2.219368269992574060e+05 8.708113937993313884e+05 2.281246854037097655e+05 -1.362869950995228719e+06 3.362880696319050621e+06 -1.156113583296546945e+06 -1.333656470229467750e+07
-2.775754176581755495e+00 2.303068287432530868e-04 -6.287385535610882243e+02 -1.042261168490331436e+01 -3.956556329646473102e+01 -1.067855931598017705e+01 7.253433820060412529e+01 -1.529967247218974933e+02 5.332535630429170226e+01 6.467943930289056880e+02
1.197334865578353405e+07 -6.287385535610882243e+02 1.538647921208809280e+10 9.360616463008360565e+07 1.314529635486526340e+08 5.939470753634369373e+07 -1.806910646355297863e+08 2.819570099328992367e+08 -3.748934564523861408e+08 -5.068544707136701584e+09
2.219368269992574060e+05 -1.042261168490331436e+01 9.360616463008360565e+07 1.655591300414146390e+06 7.796013188613995910e+06 1.634167168246750021e+06 -7.784776831770916469e+06 2.418060257964103296e+07 -9.401009575557095930e+06 -9.150864087925748527e+07
8.708113937993313884e+05 -3.956556329646473102e+01 1.314529635486526340e+08 7.796013188613995910e+06 6.719306632115775347e+07 9.190745849607868120e+06 -4.795273717292399704e+07 1.676522684254208803e+08 -5.995109162733678520e+07 -4.096876385941994190e+08
2.281246854037097655e+05 -1.067855931598017705e+01 5.939470753634369373e+07 1.634167168246750021e+06 9.190745849607868120e+06 1.756966739321288187e+06 -8.969343469132198021e+06 2.855116539188468829e+07 -1.003159966897957772e+07 -9.100978817576022446e+07
-1.362869950995228719e+06 7.253433820060412529e+01 -1.806910646355297863e+08 -7.784776831770916469e+06 -4.795273717292399704e+07 -8.969343469132198021e+06 5.174793801540314406e+07 -1.539930200798350573e+08 4.966732251069502532e+07 4.487074133519851565e+08
3.362880696319050621e+06 -1.529967247218974933e+02 2.819570099328992367e+08 2.418060257964103296e+07 1.676522684254208803e+08 2.855116539188468829e+07 -1.539930200798350573e+08 6.969082945973668098e+08 -1.642414918270340264e+08 -1.329040689388387442e+09
-1.156113583296546945e+06 5.332535630429170226e+01 -3.748934564523861408e+08 -9.401009575557095930e+06 -5.995109162733678520e+07 -1.003159966897957772e+07 4.966732251069502532e+07 -1.642414918270340264e+08 6.147233376417072117e+07 5.078471114993789196e+08
-1.333656470229467750e+07 6.467943930289056880e+02 -5.068544707136701584e+09 -9.150864087925748527e+07 -4.096876385941994190e+08 -9.100978817576022446e+07 4.487074133519851565e+08 -1.329040689388387442e+09 5.078471114993789196e+08 5.140324411859969139e+09
