# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.197224069201808423e+07 1.373779234887703751e+03 -1.709935038045525253e+08 -2.978991519999573007e+06 -1.493009140937783010e+07 -3.509593467278612778e+06 2.455284709617558122e+07 -5.246338425534188002e+07 1.809888416116091609e+07 2.024442198562307954e+08 4.069825992347798496e+07
1.373779234887703751e+03 8.539102976201515260e-02 -6.015485616879091140e+03 -8.833377758040586514e+01 -4.207962452235570936e+02 -1.019912728920392908e+02 7.436174595007189509e+02 -1.447926066286671357e+03 5.297127611489153196e+02 6.092013105278228068e+03 2.083087742403748962e+03
-1.709935038045525253e+08 -6.015485616879091140e+03 1.506825181849992943e+10 8.963342470253169537e+07 1.278712572841173708e+08 5.902603878581906110e+07 -1.733673073974443674e+08 2.800401224463418722e+08 -3.714255587434020042e+08 -4.981812714338247299e+09 -1.995128404991325736e+08
-2.978991519999573007e+06 -8.833377758040586514e+01 8.963342470253169537e+07 1.619347323948558187e+06 7.904856925453281030e+06 1.666253082543332130e+06 -7.874682114977116697e+06 2.472585853727180511e+07 -9.548547901792621240e+06 -9.212428966544418037e+07 -2.995131044459281489e+06
-1.493009140937783010e+07 -4.207962452235570936e+02 1.278712572841173708e+08 7.904856925453281030e+06 6.902176716360545158e+07 9.608029446400146931e+06 -5.026760343685199320e+07 1.743397124148252010e+08 -6.210477273754685372e+07 -4.281328131073753834e+08 -1.456430711832027696e+07
-3.509593467278612778e+06 -1.019912728920392908e+02 5.902603878581906110e+07 1.666253082543332130e+06 9.608029446400146931e+06 1.868520275848978898e+06 -9.549874353896776214e+06 3.028188171406896040e+07 -1.057910977533489279e+07 -9.615879469169415534e+07 -3.467188495865505189e+06
2.455284709617558122e+07 7.436174595007189509e+02 -1.733673073974443674e+08 -7.874682114977116697e+06 -5.026760343685199320e+07 -9.549874353896776214e+06 5.460677309330180287e+07 -1.632366510751239359e+08 5.255301849630292505e+07 4.739358014857416749e+08 2.506172141154921427e+07
-5.246338425534188002e+07 -1.447926066286671357e+03 2.800401224463418722e+08 2.472585853727180511e+07 1.743397124148252010e+08 3.028188171406896040e+07 -1.632366510751239359e+08 7.238757322166548967e+08 -1.728206825344386995e+08 -1.409604209594869375e+09 -4.972066551336956769e+07
1.809888416116091609e+07 5.297127611489153196e+02 -3.714255587434020042e+08 -9.548547901792621240e+06 -6.210477273754685372e+07 -1.057910977533489279e+07 5.255301849630292505e+07 -1.728206825344386995e+08 6.420535518151922524e+07 5.326004265778431296e+08 1.806651208294130117e+07
2.024442198562307954e+08 6.092013105278228068e+03 -4.981812714338247299e+09 -9.212428966544418037e+07 -4.281328131073753834e+08 -9.615879469169415534e+07 4.739358014857416749e+08 -1.409604209594869375e+09 5.326004265778431296e+08 5.363358323762175560e+09 2.057711232375246584e+08
4.069825992347798496e+07 2.083087742403748962e+03 -1.995128404991325736e+08 -2.995131044459281489e+06 -1.456430711832027696e+07 -3.467188495865505189e+06 2.506172141154921427e+07 -4.972066551336956769e+07 1.806651208294130117e+07 2.057711232375246584e+08 5.695418187646214664e+07
