# logA m_wdm mnu nnu ns ombh2 omch2 tau theta
1.712816825335099176e+07 5.220434963094323393e+03 -2.074427247171424562e+06 -3.023089135957318824e+06 2.092855204207693785e+07 2.916469687345179170e+07 1.335809633043605834e+08 -1.961528586073114723e+07 -5.736522514447228611e+07
5.220434963094323393e+03 3.722334252924378362e+00 -9.144786844801071766e+02 -1.025414217139255015e+03 7.006047733676376083e+03 -6.133061789094736741e+04 6.169686977902355284e+04 -3.931445445471068524e+03 -1.439034182031082491e+04
-2.074427247171424562e+06 -9.144786844801071766e+02 4.345317540374736418e+05 4.574471086212441442e+05 -2.718502711666012648e+06 2.732214932161787897e+07 -2.837099652575078979e+07 1.152728891190562630e+06 6.370585022449610755e+06
-3.023089135957318824e+06 -1.025414217139255015e+03 4.574471086212441442e+05 6.142701085982583463e+05 -3.971924918393271044e+06 -3.588341053883842542e+05 -3.015140970382267982e+07 2.842790434851588681e+06 1.068168535825136490e+07
2.092855204207693785e+07 7.006047733676376083e+03 -2.718502711666012648e+06 -3.971924918393271044e+06 2.733149558333980292e+07 5.175578378145604581e+07 1.790982707107098699e+08 -2.267583872638551518e+07 -7.466512693593755364e+07
2.916469687345179170e+07 -6.133061789094736741e+04 2.732214932161787897e+07 -3.588341053883842542e+05 5.175578378145604581e+07 1.068926503400305176e+10 -1.778027247553367853e+09 -2.406358087580128312e+08 -4.953377248620510697e+08
1.335809633043605834e+08 6.169686977902355284e+04 -2.837099652575078979e+07 -3.015140970382267982e+07 1.790982707107098699e+08 -1.778027247553367853e+09 1.879525454279599905e+09 -7.060232554177474976e+07 -3.837600197881475091e+08
-1.961528586073114723e+07 -3.931445445471068524e+03 1.152728891190562630e+06 2.842790434851588681e+06 -2.267583872638551518e+07 -2.406358087580128312e+08 -7.060232554177474976e+07 3.070459873785905167e+07 7.078460839132490754e+07
-5.736522514447228611e+07 -1.439034182031082491e+04 6.370585022449610755e+06 1.068168535825136490e+07 -7.466512693593755364e+07 -4.953377248620510697e+08 -3.837600197881475091e+08 7.078460839132490754e+07 5.958345828832767010e+08
