# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
2.763979371829150841e+04 -5.092418219787250855e+05 -3.920667476479660962e+00 1.081715998584862537e+05 1.072838865264595079e+05 -6.942830556943843840e+05 7.049822771319408901e+06 -6.740584561316197738e+06 3.243001285063300165e+05 1.459299430657161167e+06
-5.092418219787250855e+05 1.610459531537380815e+07 7.351572950896409964e+01 -2.062639204040292418e+06 -2.810561907133525703e+06 1.988126542879379541e+07 2.538417016650776938e+07 1.245378466446598768e+08 -1.877983293477489054e+07 -5.389773694071929902e+07
-3.920667476479660962e+00 7.351572950896409964e+01 9.045132251777195879e-04 -1.426434994389880906e+01 -1.418307153426357203e+01 1.001709462222896150e+02 -9.935936905217679396e+02 8.846209337701186541e+02 -5.519619674224463068e+01 -1.941795318360384783e+02
1.081715998584862537e+05 -2.062639204040292418e+06 -1.426434994389880906e+01 4.651407584410017589e+05 4.519958929177450482e+05 -2.762683085155924782e+06 3.007190233861421049e+07 -2.872716184237519279e+07 1.146379394223497482e+06 6.229067302415040322e+06
1.072838865264595079e+05 -2.810561907133525703e+06 -1.418307153426357203e+01 4.519958929177450482e+05 5.687349919463782571e+05 -3.751193351740795653e+06 9.782603519510265323e+04 -2.810704871355900541e+07 2.687695297939737327e+06 9.971120633197955787e+06
-6.942830556943843840e+05 1.988126542879379541e+07 1.001709462222896150e+02 -2.762683085155924782e+06 -3.751193351740795653e+06 2.633781404210981354e+07 4.355116199581253529e+07 1.707087247242101729e+08 -2.181371049509547651e+07 -7.097952363668914139e+07
7.049822771319408901e+06 2.538417016650776938e+07 -9.935936905217679396e+02 3.007190233861421049e+07 9.782603519510265323e+04 4.355116199581253529e+07 1.091246165045587921e+10 -1.848013750229050875e+09 -2.370284097576923072e+08 -4.924761139191913009e+08
-6.740584561316197738e+06 1.245378466446598768e+08 8.846209337701186541e+02 -2.872716184237519279e+07 -2.810704871355900541e+07 1.707087247242101729e+08 -1.848013750229050875e+09 1.797988751589175701e+09 -6.449681049273830652e+07 -3.513293184311046004e+08
3.243001285063300165e+05 -1.877983293477489054e+07 -5.519619674224463068e+01 1.146379394223497482e+06 2.687695297939737327e+06 -2.181371049509547651e+07 -2.370284097576923072e+08 -6.449681049273830652e+07 2.984660984740089253e+07 6.802414463472588360e+07
1.459299430657161167e+06 -5.389773694071929902e+07 -1.941795318360384783e+02 6.229067302415040322e+06 9.971120633197955787e+06 -7.097952363668914139e+07 -4.924761139191913009e+08 -3.513293184311046004e+08 6.802414463472588360e+07 5.846490908687201738e+08
