# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
4.847081692834738351e+04 -6.544222743791502239e+01 1.196681941349048726e+07 2.218164173831721710e+05 8.703783137333778432e+05 2.280225281329539430e+05 -1.362085408434559358e+06 3.361639230700858403e+06 -1.155530404265366727e+06 -1.332955923847329803e+07
-6.544222743791502239e+01 1.318241632943180086e-01 -1.492445048913625760e+04 -2.431252425293563988e+02 -9.339507103553248726e+02 -2.486230320902172934e+02 1.701714831089259860e+03 -3.551271676444417153e+03 1.249397072166731277e+03 1.509172906610936479e+04
1.196681941349048726e+07 -1.492445048913625760e+04 1.538519828245041466e+10 9.358221152101610601e+07 1.313716963190989345e+08 5.937506746617504209e+07 -1.805351634506175220e+08 2.817289874356075525e+08 -3.747805789119634032e+08 -5.067155129164824486e+09
2.218164173831721710e+05 -2.431252425293563988e+02 9.358221152101610601e+07 1.655147973135752836e+06 7.794433388694073074e+06 1.633792240947156679e+06 -7.781897684415260330e+06 2.417606365975981578e+07 -9.398872975878922269e+06 -9.148278319317014515e+07
8.703783137333778432e+05 -9.339507103553248726e+02 1.313716963190989345e+08 7.794433388694073074e+06 6.718654608311606944e+07 9.189405345056781545e+06 -4.794219042377116531e+07 1.676355864292841256e+08 -5.994305262763183564e+07 -4.095964130952486992e+08
2.280225281329539430e+05 -2.486230320902172934e+02 5.937506746617504209e+07 1.633792240947156679e+06 9.189405345056781545e+06 1.756662784073573304e+06 -8.966944559921188280e+06 2.854763808391323686e+07 -1.002980472553684376e+07 -9.098823537221951783e+07
-1.362085408434559358e+06 1.701714831089259860e+03 -1.805351634506175220e+08 -7.781897684415260330e+06 -4.794219042377116531e+07 -8.966944559921188280e+06 5.172914612735406309e+07 -1.539644023196161091e+08 4.965332979375544935e+07 4.485407475340093374e+08
3.361639230700858403e+06 -3.551271676444417153e+03 2.817289874356075525e+08 2.417606365975981578e+07 1.676355864292841256e+08 2.854763808391323686e+07 -1.539644023196161091e+08 6.968686715354638100e+08 -1.642197199241348803e+08 -1.328783998812621117e+09
-1.155530404265366727e+06 1.249397072166731277e+03 -3.747805789119634032e+08 -9.398872975878922269e+06 -5.994305262763183564e+07 -1.002980472553684376e+07 4.965332979375544935e+07 -1.642197199241348803e+08 6.146184907021488249e+07 5.077232144632759094e+08
-1.332955923847329803e+07 1.509172906610936479e+04 -5.067155129164824486e+09 -9.148278319317014515e+07 -4.095964130952486992e+08 -9.098823537221951783e+07 4.485407475340093374e+08 -1.328783998812621117e+09 5.077232144632759094e+08 5.138823663727040291e+09
