# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
4.850200983036099205e+04 -4.219910525531870071e+00 1.197308788143341430e+07 2.219322989024683484e+05 8.707945277004046366e+05 2.281204198960071080e+05 -1.362840230055697262e+06 3.362823734414693434e+06 -1.156090798824328464e+06 -1.333628495807192475e+07
-4.219910525531870071e+00 5.834976197677315887e-04 -9.710931655794175867e+02 -1.562699756769699455e+01 -6.038853464971543161e+01 -1.594265391953516975e+01 1.096520818686213232e+02 -2.269882802290344159e+02 8.049254930052931911e+01 9.696023535289086794e+02
1.197308788143341430e+07 -9.710931655794175867e+02 1.538642961258173943e+10 9.360531444605425000e+07 1.314499878400061578e+08 5.939392817669505626e+07 -1.806854653268944919e+08 2.819469858370581269e+08 -3.748892906375427842e+08 -5.068491741440247536e+09
2.219322989024683484e+05 -1.562699756769699455e+01 9.360531444605425000e+07 1.655576907749192324e+06 7.795959986009391956e+06 1.634153753233497730e+06 -7.784681693029347807e+06 2.418042665586056933e+07 -9.400937461749592796e+06 -9.150773782902042568e+07
8.707945277004046366e+05 -6.038853464971543161e+01 1.314499878400061578e+08 7.795959986009391956e+06 6.719283242152793705e+07 9.190695418485220522e+06 -4.795237356779872626e+07 1.676515804862251282e+08 -5.995080654691896588e+07 -4.096843248300872445e+08
2.281204198960071080e+05 -1.594265391953516975e+01 5.939392817669505626e+07 1.634153753233497730e+06 9.190695418485220522e+06 1.756954283508239547e+06 -8.969255511627979577e+06 2.855100191849979386e+07 -1.003153207395945117e+07 -9.100894631014107168e+07
-1.362840230055697262e+06 1.096520818686213232e+02 -1.806854653268944919e+08 -7.784681693029347807e+06 -4.795237356779872626e+07 -8.969255511627979577e+06 5.174730395899119228e+07 -1.539918711799775958e+08 4.966684046651735157e+07 4.487014916529513597e+08
3.362823734414693434e+06 -2.269882802290344159e+02 2.819469858370581269e+08 2.418042665586056933e+07 1.676515804862251282e+08 2.855100191849979386e+07 -1.539918711799775958e+08 6.969061240936067104e+08 -1.642405924376347065e+08 -1.329029631204266548e+09
-1.156090798824328464e+06 8.049254930052931911e+01 -3.748892906375427842e+08 -9.400937461749592796e+06 -5.995080654691896588e+07 -1.003153207395945117e+07 4.966684046651735157e+07 -1.642405924376347065e+08 6.147196327422774583e+07 5.078425975715010166e+08
-1.333628495807192475e+07 9.696023535289086794e+02 -5.068491741440247536e+09 -9.150773782902042568e+07 -4.096843248300872445e+08 -9.100894631014107168e+07 4.487014916529513597e+08 -1.329029631204266548e+09 5.078425975715010166e+08 5.140267927396934509e+09
