# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
4.849835850851259602e+04 -8.945679366097307066e+05 -5.278578149774340034e+01 1.197237437663569115e+07 2.219192299490985752e+05 8.707472789580716053e+05 2.281094081554283330e+05 -1.362754689404993318e+06 3.362690981808142271e+06 -1.156027459706204478e+06 -1.333552454779595137e+07 -9.266439065695508616e+05
-8.945679366097307066e+05 3.196470692734462768e+07 2.601924267862384113e+03 -1.875904896132652760e+08 -3.108436339296033140e+06 -1.377211873711688817e+07 -3.244039576729886699e+06 2.328847929734453931e+07 -4.759066650688829273e+07 1.687688497901804745e+07 1.938826440846109986e+08 4.068669220285387337e+07
-5.278578149774340034e+01 2.601924267862384113e+03 3.047347541297529272e-01 -1.259322011706537160e+04 -1.828271467943196456e+02 -7.561099790154864877e+02 -1.839221766086839978e+02 1.365156048968748792e+03 -2.550333855414680784e+03 9.665787557514573791e+02 1.138929271736931878e+04 3.927710272204316425e+03
1.197237437663569115e+07 -1.875904896132652760e+08 -1.259322011706537160e+04 1.538629409917313004e+10 9.360277271469664574e+07 1.314412801661769599e+08 5.939186888880164176e+07 -1.806689756824877262e+08 2.819233616304413676e+08 -3.748772912156567574e+08 -5.068344753140473366e+09 -2.184550075465807319e+08
2.219192299490985752e+05 -3.108436339296033140e+06 -1.828271467943196456e+02 9.360277271469664574e+07 1.655529491531634005e+06 7.795790333443462849e+06 1.634114100979238981e+06 -7.784375129385189153e+06 2.417995100013677031e+07 -9.400709060833308846e+06 -9.150498712903276086e+07 -3.163652285208077636e+06
8.707472789580716053e+05 -1.377211873711688817e+07 -7.561099790154864877e+02 1.314412801661769599e+08 7.795790333443462849e+06 6.719213444464446604e+07 9.190553292701898143e+06 -4.795124924307461083e+07 1.676498319871854484e+08 -5.994994584237248451e+07 -4.096745787378618717e+08 -1.337346263579178602e+07
2.281094081554283330e+05 -3.244039576729886699e+06 -1.839221766086839978e+02 5.939186888880164176e+07 1.634114100979238981e+06 9.190553292701898143e+06 1.756922730068238918e+06 -8.969003096494853497e+06 2.855064257982239872e+07 -1.003134267316534743e+07 -9.100668430077467859e+07 -3.194396626236367971e+06
-1.362754689404993318e+06 2.328847929734453931e+07 1.365156048968748792e+03 -1.806689756824877262e+08 -7.784375129385189153e+06 -4.795124924307461083e+07 -8.969003096494853497e+06 5.174531153893350810e+07 -1.539888931584444046e+08 4.966535288150523603e+07 4.486838117869690657e+08 2.368179000066619366e+07
3.362690981808142271e+06 -4.759066650688829273e+07 -2.550333855414680784e+03 2.819233616304413676e+08 2.417995100013677031e+07 1.676498319871854484e+08 2.855064257982239872e+07 -1.539888931584444046e+08 6.969022311234745979e+08 -1.642383213232446313e+08 -1.329003030485993385e+09 -4.455463411475107074e+07
-1.156027459706204478e+06 1.687688497901804745e+07 9.665787557514573791e+02 -3.748772912156567574e+08 -9.400709060833308846e+06 -5.994994584237248451e+07 -1.003134267316534743e+07 4.966535288150523603e+07 -1.642383213232446313e+08 6.147084412118604034e+07 5.078294285711163878e+08 1.685677238107236475e+07
-1.333552454779595137e+07 1.938826440846109986e+08 1.138929271736931878e+04 -5.068344753140473366e+09 -9.150498712903276086e+07 -4.096745787378618717e+08 -9.100668430077467859e+07 4.486838117869690657e+08 -1.329003030485993385e+09 5.078294285711163878e+08 5.140109128666526794e+09 1.973616694501057565e+08
-9.266439065695508616e+05 4.068669220285387337e+07 3.927710272204316425e+03 -2.184550075465807319e+08 -3.163652285208077636e+06 -1.337346263579178602e+07 -3.194396626236367971e+06 2.368179000066619366e+07 -4.455463411475107074e+07 1.685677238107236475e+07 1.973616694501057565e+08 5.693527073046109080e+07
