# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.193849783345912769e+07 1.044217587580943837e+04 -1.305672595637901574e+08 -2.238215174490062520e+06 -1.322370035411108285e+07 -2.664023882994697429e+06 1.886077953736311942e+07 -4.055445095359916240e+07 1.465505746420146339e+07 1.507578778126540482e+08 4.064586978404412419e+07
1.044217587580943837e+04 4.990908227049637880e+00 -3.959450654718425358e+04 -5.701015365727976132e+02 -2.998300483272004385e+03 -6.586838541891746672e+02 4.809374040528643491e+03 -9.425789193855882331e+03 3.566861549269300667e+03 3.896687536831288162e+04 1.586309607851512737e+04
-1.305672595637901574e+08 -3.959450654718425358e+04 1.069101149649865913e+10 2.737440561725135520e+07 -2.405012092883838415e+08 -3.391224989652208751e+05 5.148629601315250993e+07 -4.955343900852097869e+08 2.896968732275874913e+07 -1.779753710058033705e+09 -1.673227209262289107e+08
-2.238215174490062520e+06 -5.701015365727976132e+02 2.737440561725135520e+07 4.345010423833013047e+05 1.155508539656659355e+06 4.588574263624239247e+05 -2.723574844541249331e+06 6.411223064380297437e+06 -2.078199651217438281e+06 -2.845467062141446024e+07 -2.465961522445807233e+06
-1.322370035411108285e+07 -2.998300483272004385e+03 -2.405012092883838415e+08 1.155508539656659355e+06 3.071996913951947913e+07 2.845360747260734439e+06 -2.269736789664658904e+07 7.081696937516996264e+07 -1.963218306693725288e+07 -7.077138424731521308e+07 -1.359684799855960160e+07
-2.664023882994697429e+06 -6.586838541891746672e+02 -3.391224989652208751e+05 4.588574263624239247e+05 2.845360747260734439e+06 6.140347666111823637e+05 -3.976434942664355971e+06 1.065370366869776137e+07 -3.026470067957710940e+06 -3.015070586952352524e+07 -2.860504749175248202e+06
1.886077953736311942e+07 4.809374040528643491e+03 5.148629601315250993e+07 -2.723574844541249331e+06 -2.269736789664658904e+07 -3.976434942664355971e+06 2.736831096539127082e+07 -7.471704091894045472e+07 2.095606963859549537e+07 1.794105202841614485e+08 2.069274465650959685e+07
-4.055445095359916240e+07 -9.425789193855882331e+03 -4.955343900852097869e+08 6.411223064380297437e+06 7.081696937516996264e+07 1.065370366869776137e+07 -7.471704091894045472e+07 5.944092298195046186e+08 -5.740504099113897979e+07 -3.824690604539501667e+08 -4.153883408314272761e+07
1.465505746420146339e+07 3.566861549269300667e+03 2.896968732275874913e+07 -2.078199651217438281e+06 -1.963218306693725288e+07 -3.026470067957710940e+06 2.095606963859549537e+07 -5.740504099113897979e+07 1.714906548775882646e+07 1.338123318141600341e+08 1.571087207561174221e+07
1.507578778126540482e+08 3.896687536831288162e+04 -1.779753710058033705e+09 -2.845467062141446024e+07 -7.077138424731521308e+07 -3.015070586952352524e+07 1.794105202841614485e+08 -3.824690604539501667e+08 1.338123318141600341e+08 1.880250348377119064e+09 1.674079315542674363e+08
4.064586978404412419e+07 1.586309607851512737e+04 -1.673227209262289107e+08 -2.465961522445807233e+06 -1.359684799855960160e+07 -2.860504749175248202e+06 2.069274465650959685e+07 -4.153883408314272761e+07 1.571087207561174221e+07 1.674079315542674363e+08 5.686753764173107594e+07
