# HMCode_logT_AGN ombh2 mnu tau nnu ns theta logA omch2
2.764365545789850512e+04 7.050626595746809617e+06 1.081853576977360790e+05 3.243497426804303541e+05 1.072951372629731632e+05 -6.943726533390695695e+05 1.459427740374243353e+06 -5.093085974769156892e+05 -6.741386557964378968e+06
7.050626595746809617e+06 1.091232547630896950e+10 3.008773929483585805e+07 -2.370191258697578609e+08 8.688023086547113780e+04 4.353305099008506536e+07 -4.929928360872756839e+08 2.537088578849133104e+07 -1.847509071099738359e+09
1.081853576977360790e+05 3.008773929483585805e+07 4.644390103480991093e+05 1.146551946047657402e+06 4.528013014077962725e+05 -2.762999804174607154e+06 6.262740369890427217e+06 -2.062875076894785045e+06 -2.876902727509044483e+07
3.243497426804303541e+05 -2.370191258697578609e+08 1.146551946047657402e+06 2.984743918080011383e+07 2.687839079000488389e+06 -2.181490624563319981e+07 6.802590873564395308e+07 -1.878077270827438310e+07 -6.450669297423642874e+07
1.072951372629731632e+05 8.688023086547113780e+04 4.528013014077962725e+05 2.687839079000488389e+06 5.679853460826834198e+05 -3.751447749702747446e+06 9.937552573407461867e+06 -2.810753650163537823e+06 -2.806956729288916290e+07
-6.943726533390695695e+05 4.353305099008506536e+07 -2.762999804174607154e+06 -2.181490624563319981e+07 -3.751447749702747446e+06 2.633988705791725963e+07 -7.098238511620840430e+07 1.988282482671537995e+07 1.707270413613275588e+08
1.459427740374243353e+06 -4.929928360872756839e+08 6.262740369890427217e+06 6.802590873564395308e+07 9.937552573407461867e+06 -7.098238511620840430e+07 5.831667606605472565e+08 -5.389994982901228219e+07 -3.496271693738434315e+08
-5.093085974769156892e+05 2.537088578849133104e+07 -2.062875076894785045e+06 -1.878077270827438310e+07 -2.810753650163537823e+06 1.988282482671537995e+07 -5.389994982901228219e+07 1.610578178913627379e+07 1.245514701353126019e+08
-6.741386557964378968e+06 -1.847509071099738359e+09 -2.876902727509044483e+07 -6.450669297423642874e+07 -2.806956729288916290e+07 1.707270413613275588e+08 -3.496271693738434315e+08 1.245514701353126019e+08 1.796128801383835793e+09
