# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.191224107118895277e+07 1.807959972653215379e+07 2.002856648747939107e+04 -2.975603417289405130e+06 4.060553458451765031e+07 -3.506322038439852651e+06 2.452580948213372380e+07 -1.708027535885091126e+08 2.022274438290384114e+08 -1.491457724820633605e+07 -5.242300912535401434e+07
1.807959972653215379e+07 6.419404582544731349e+07 7.914780928906611734e+03 -9.546455603724999353e+06 1.804216027819789201e+07 -1.057717079141852632e+07 5.253805722386866808e+07 -3.713240723933976293e+08 5.324707549302756786e+08 -6.209596804124005884e+07 -1.727967372427741587e+08
2.002856648747939107e+04 7.914780928906611734e+03 1.783012533648877351e+01 -1.320661954495488089e+03 3.019874834046624892e+04 -1.527305868031755836e+03 1.108351342099252361e+04 -8.863007578561210539e+04 9.096402011879855127e+04 -6.292003491291671708e+03 -2.177924269221301438e+04
-2.975603417289405130e+06 -9.546455603724999353e+06 -1.320661954495488089e+03 1.619703410161404405e+06 -2.990872208495011088e+06 1.665119011269238312e+06 -7.871893435289720073e+06 8.960079399016867578e+07 -9.206067077741007507e+07 7.903287799415442161e+06 2.468808419887454808e+07
4.060553458451765031e+07 1.804216027819789201e+07 3.019874834046624892e+04 -2.990872208495011088e+06 5.680141742641339451e+07 -3.463064580746538471e+06 2.502674889727201685e+07 -1.992612362796975970e+08 2.054957592868076563e+08 -1.454483009488885477e+07 -4.967059383746614307e+07
-3.506322038439852651e+06 -1.057717079141852632e+07 -1.527305868031755836e+03 1.665119011269238312e+06 -3.463064580746538471e+06 1.868972719108197372e+06 -9.547302022913444787e+06 5.902155194285718352e+07 -9.617597921622167528e+07 9.606558062371930107e+06 3.031191411386604607e+07
2.452580948213372380e+07 5.253805722386866808e+07 1.108351342099252361e+04 -7.871893435289720073e+06 2.502674889727201685e+07 -9.547302022913444787e+06 5.458679947100310028e+07 -1.732277295442407727e+08 4.737628100273034573e+08 -5.025613538769346476e+07 -1.632053306656721532e+08
-1.708027535885091126e+08 -3.713240723933976293e+08 -8.863007578561210539e+04 8.960079399016867578e+07 -1.992612362796975970e+08 5.902155194285718352e+07 -1.732277295442407727e+08 1.506759137782879257e+10 -4.981264722771401405e+09 1.277973314756577611e+08 2.803731788528267145e+08
2.022274438290384114e+08 5.324707549302756786e+08 9.096402011879855127e+04 -9.206067077741007507e+07 2.054957592868076563e+08 -9.617597921622167528e+07 4.737628100273034573e+08 -4.981264722771401405e+09 5.363858684960065842e+09 -4.280358592266452909e+08 -1.411058063816277742e+09
-1.491457724820633605e+07 -6.209596804124005884e+07 -6.292003491291671708e+03 7.903287799415442161e+06 -1.454483009488885477e+07 9.606558062371930107e+06 -5.025613538769346476e+07 1.277973314756577611e+08 -4.280358592266452909e+08 6.901452807180619240e+07 1.743210796930654049e+08
-5.242300912535401434e+07 -1.727967372427741587e+08 -2.177924269221301438e+04 2.468808419887454808e+07 -4.967059383746614307e+07 3.031191411386604607e+07 -1.632053306656721532e+08 2.803731788528267145e+08 -1.411058063816277742e+09 1.743210796930654049e+08 7.253174782126067877e+08
