# m_wdm ombh2 mnu tau nnu ns theta logA omch2
1.072910305531663000e-01 -1.029464992603680548e+04 -1.532603467568090707e+02 -6.617104339247296139e+02 -1.718620120173946475e+02 1.177214192993927099e+03 -2.410921369897381282e+03 8.765440089537449921e+02 1.034291927091873004e+04
-1.029464992603680548e+04 1.069076140079491043e+10 2.736956744709553942e+07 -2.405179252759080231e+08 -3.431677882244861685e+05 5.151966954605604708e+07 -4.955765387088231444e+08 2.899378231235152856e+07 -1.779457576593873739e+09
-1.532603467568090707e+02 2.736956744709553942e+07 4.344120698513705865e+05 1.155162811579667730e+06 4.587777538372822455e+05 -2.722945174078006297e+06 6.410307609814084135e+06 -2.077732217853003647e+06 -2.844913609321858361e+07
-6.617104339247296139e+02 -2.405179252759080231e+08 1.155162811579667730e+06 3.071805278587485105e+07 2.845040881457395386e+06 -2.269467923297934607e+07 7.081294620946818590e+07 -1.963007795719274879e+07 -7.075027613575197756e+07
-1.718620120173946475e+02 -3.431677882244861685e+05 4.587777538372822455e+05 2.845040881457395386e+06 6.139673957066682633e+05 -3.975874518167231698e+06 1.065297332243909873e+07 -3.026050945406131446e+06 -3.014586159088769183e+07
1.177214192993927099e+03 5.151966954605604708e+07 -2.722945174078006297e+06 -2.269467923297934607e+07 -3.975874518167231698e+06 2.736371686686377972e+07 -7.471059129459959269e+07 2.095264331036006659e+07 1.793716172686931789e+08
-2.410921369897381282e+03 -4.955765387088231444e+08 6.410307609814084135e+06 7.081294620946818590e+07 1.065297332243909873e+07 -7.471059129459959269e+07 5.944018029432586432e+08 -5.740010856496719271e+07 -3.824149433047417402e+08
8.765440089537449921e+02 2.899378231235152856e+07 -2.077732217853003647e+06 -1.963007795719274879e+07 -3.026050945406131446e+06 2.095264331036006659e+07 -5.740010856496719271e+07 1.714646903799441084e+07 1.337835660761448443e+08
1.034291927091873004e+04 -1.779457576593873739e+09 -2.844913609321858361e+07 -7.075027613575197756e+07 -3.014586159088769183e+07 1.793716172686931789e+08 -3.824149433047417402e+08 1.337835660761448443e+08 1.879908356373973846e+09
