# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.173567973753997311e+07 -8.906596211576621281e+05 1.680525246243709326e+07 1.127439105015445239e+05 -3.094253851478003897e+06 4.033696667143697292e+07 -3.231984549396959133e+06 2.318826619013673067e+07 -1.867425463257527053e+08 1.930559710925284326e+08 -1.371577301986827701e+07 -4.744653391563802958e+07
-8.906596211576621281e+05 4.837846292634699057e+04 -1.153848978721768595e+06 -2.369446308452611902e+03 2.214682881019263586e+05 -9.217071955369135831e+05 2.277276822666144872e+05 -1.359825983033747412e+06 1.194805056499561667e+07 -1.330938406499026157e+07 8.691313549735504203e+05 3.358054819135897793e+06
1.680525246243709326e+07 -1.153848978721768595e+06 6.143119230299501866e+07 4.336850040195378097e+04 -9.392617379522716627e+06 1.676644365536296368e+07 -1.002454731504633278e+07 4.961243775439569354e+07 -3.744506083613055348e+08 5.073614651407252550e+08 -5.991954895938855410e+07 -1.641558116928824782e+08
1.127439105015445239e+05 -2.369446308452611902e+03 4.336850040195378097e+04 5.200821769819743849e+02 -8.204715661650774564e+03 1.666902903264944616e+05 -8.262917650363666326e+03 6.115948287969263765e+04 -5.658214458449719241e+05 5.113787181940830778e+05 -3.391466678378377401e+04 -1.147140625907705107e+05
-3.094253851478003897e+06 2.214682881019263586e+05 -9.392617379522716627e+06 -8.204715661650774564e+03 1.654598778458060697e+06 -3.145709321577923838e+06 1.631926599759985460e+06 -7.773470024499529973e+06 9.349903690759333968e+07 -9.136813194446259737e+07 7.789812177236404270e+06 2.412949594472894445e+07
4.033696667143697292e+07 -9.217071955369135831e+05 1.676644365536296368e+07 1.666902903264944616e+05 -3.145709321577923838e+06 5.636555259084683657e+07 -3.179266894731311593e+06 2.355315467401086167e+07 -2.173397054915572703e+08 1.963142275545488298e+08 -1.330315172896397859e+07 -4.437808952054037154e+07
-3.231984549396959133e+06 2.277276822666144872e+05 -1.002454731504633278e+07 -8.262917650363666326e+03 1.631926599759985460e+06 -3.179266894731311593e+06 1.756550774588471046e+06 -8.959920519587747753e+06 5.933065412379324436e+07 -9.096494142367945611e+07 9.185482149464391172e+06 2.857115200701003522e+07
2.318826619013673067e+07 -1.359825983033747412e+06 4.961243775439569354e+07 6.115948287969263765e+04 -7.773470024499529973e+06 2.355315467401086167e+07 -8.959920519587747753e+06 5.167421323128806055e+07 -1.800790513728840053e+08 4.480543473148450851e+08 -4.791138155452559143e+07 -1.538804494501698315e+08
-1.867425463257527053e+08 1.194805056499561667e+07 -3.744506083613055348e+08 -5.658214458449719241e+05 9.349903690759333968e+07 -2.173397054915572703e+08 5.933065412379324436e+07 -1.800790513728840053e+08 1.538173885529485321e+10 -5.063766102794135094e+09 1.311345839135422558e+08 2.815993768740230203e+08
1.930559710925284326e+08 -1.330938406499026157e+07 5.073614651407252550e+08 5.113787181940830778e+05 -9.136813194446259737e+07 1.963142275545488298e+08 -9.096494142367945611e+07 4.480543473148450851e+08 -5.063766102794135094e+09 5.136471592290938377e+09 -4.093303615640242100e+08 -1.329759008004155636e+09
-1.371577301986827701e+07 8.691313549735504203e+05 -5.991954895938855410e+07 -3.391466678378377401e+04 7.789812177236404270e+06 -1.330315172896397859e+07 9.185482149464391172e+06 -4.791138155452559143e+07 1.311345839135422558e+08 -4.093303615640242100e+08 6.716745961364220083e+07 1.675866381140109003e+08
-4.744653391563802958e+07 3.358054819135897793e+06 -1.641558116928824782e+08 -1.147140625907705107e+05 2.412949594472894445e+07 -4.437808952054037154e+07 2.857115200701003522e+07 -1.538804494501698315e+08 2.815993768740230203e+08 -1.329759008004155636e+09 1.675866381140109003e+08 6.982372113473769426e+08
