# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
4.681597859112876176e+04 -1.123978645664106123e+06 -1.541061390999404648e+04 2.152507835689641070e+05 2.224616138168033794e+05 -1.319909339895547135e+06 1.161572760580012389e+07 -1.295197552120849304e+07 8.471332132958767470e+05 3.293879645558276214e+06
-1.123978645664106123e+06 6.086204843454443663e+07 2.964454176060502650e+05 -9.276255572770848870e+06 -9.926020076603569090e+06 4.885503002445462346e+07 -3.683096088422795534e+08 5.006604748983017802e+08 -5.948506870872017741e+07 -1.629471002354937196e+08
-1.541061390999404648e+04 2.964454176060502650e+05 6.639324620371248784e+03 -5.765569975815684302e+04 -5.971966421918374544e+04 4.009953585164839169e+05 -3.468836245962595567e+06 3.590210887782142032e+06 -2.208159347154338902e+05 -8.644194988622085657e+05
2.152507835689641070e+05 -9.276255572770848870e+06 -5.765569975815684302e+04 1.630353752870819299e+06 1.611256104941969737e+06 -7.617091595759449527e+06 9.218793003075852990e+07 -8.996242890383096039e+07 7.704366458337189630e+06 2.387651832370784134e+07
2.224616138168033794e+05 -9.926020076603569090e+06 -5.971966421918374544e+04 1.611256104941969737e+06 1.739643464403799269e+06 -8.828574460138309747e+06 5.824421295991765708e+07 -8.978555276992179453e+07 9.112402573058500886e+06 2.837243684205811098e+07
-1.319909339895547135e+06 4.885503002445462346e+07 4.009953585164839169e+05 -7.617091595759449527e+06 -8.828574460138309747e+06 5.065978309667761624e+07 -1.715884940047584176e+08 4.390724374753063321e+08 -4.734335579707840830e+07 -1.522955927386380434e+08
1.161572760580012389e+07 -3.683096088422795534e+08 -3.468836245962595567e+06 9.218793003075852990e+07 5.824421295991765708e+07 -1.715884940047584176e+08 1.531096395509062195e+10 -4.988242276360608101e+09 1.267621406995800734e+08 2.688172683659708500e+08
-1.295197552120849304e+07 5.006604748983017802e+08 3.590210887782142032e+06 -8.996242890383096039e+07 -8.978555276992179453e+07 4.390724374753063321e+08 -4.988242276360608101e+09 5.055495260240799904e+09 -4.044342223566840291e+08 -1.315573971831117392e+09
8.471332132958767470e+05 -5.948506870872017741e+07 -2.208159347154338902e+05 7.704366458337189630e+06 9.112402573058500886e+06 -4.734335579707840830e+07 1.267621406995800734e+08 -4.044342223566840291e+08 6.681496856162654608e+07 1.666660776410371065e+08
3.293879645558276214e+06 -1.629471002354937196e+08 -8.644194988622085657e+05 2.387651832370784134e+07 2.837243684205811098e+07 -1.522955927386380434e+08 2.688172683659708500e+08 -1.315573971831117392e+09 1.666660776410371065e+08 6.959649339619174004e+08
