# logA m_wdm mnu nnu ns ombh2 omch2 tau theta
6.420490288363493979e+07 1.300640906396928642e+02 -9.548459383496718481e+06 -1.057903959923620149e+07 5.255240700627698749e+07 -3.714218108482416868e+08 5.325954695315959454e+08 -6.210441860229838639e+07 -1.728199418533835709e+08
1.300640906396928642e+02 1.301991876181330787e-03 -2.278004933270677412e+01 -2.600022211861080734e+01 1.747318207946206599e+02 -1.354653017836419394e+03 1.529931988043146930e+03 -9.868003687029271020e+01 -3.773038340882844750e+02
-9.548459383496718481e+06 -2.278004933270677412e+01 1.620080746820190223e+06 1.665473210825831862e+06 -7.874562548141739331e+06 8.961969081764450669e+07 -9.208429412952241302e+07 7.904789640422579832e+06 2.469247730988683552e+07
-1.057903959923620149e+07 -2.600022211861080734e+01 1.665473210825831862e+06 1.869290701957450714e+06 -9.549778450643783435e+06 5.903864024245018512e+07 -9.619779549290402234e+07 9.607975257733324543e+06 3.031569230910086259e+07
5.255240700627698749e+07 1.747318207946206599e+02 -7.874562548141739331e+06 -9.549778450643783435e+06 5.460594143949048966e+07 -1.733620210259059966e+08 4.739290071779327989e+08 -5.026713082421968877e+07 -1.632356388384054005e+08
-3.714218108482416868e+08 -1.354653017836419394e+03 8.961969081764450669e+07 5.903864024245018512e+07 -1.733620210259059966e+08 1.506851802206285095e+10 -4.982440687887441635e+09 1.278684321968696713e+08 2.805749508339000344e+08
5.325954695315959454e+08 1.529931988043146930e+03 -9.208429412952241302e+07 -9.619779549290402234e+07 4.739290071779327989e+08 -4.982440687887441635e+09 5.365329090720717430e+09 -4.281290367176340222e+08 -1.411323877887146235e+09
-6.210441860229838639e+07 -9.868003687029271020e+01 7.904789640422579832e+06 9.607975257733324543e+06 -5.026713082421968877e+07 1.278684321968696713e+08 -4.281290367176340222e+08 6.902147880676275492e+07 1.743391224952927530e+08
-1.728199418533835709e+08 -3.773038340882844750e+02 2.469247730988683552e+07 3.031569230910086259e+07 -1.632356388384054005e+08 2.805749508339000344e+08 -1.411323877887146235e+09 1.743391224952927530e+08 7.253609553799325228e+08
