# m_wdm ombh2 mnu tau nnu ns theta logA omch2
5.830919573785723742e+01 -2.459084720571079233e+05 -3.672247749023814777e+03 -1.570174848272344752e+04 -4.119697880316759438e+03 2.804291742526219605e+04 -5.786658430648387730e+04 2.091643659383453632e+04 2.477266137456113356e+05
-2.459084720571079233e+05 1.068457842655653191e+10 2.725171817764077708e+07 -2.409183946248292625e+08 -4.419943803020640044e+05 5.232346663939095289e+07 -4.966128466762709022e+08 2.957704335499902070e+07 -1.772291416030006170e+09
-3.672247749023814777e+03 2.725171817764077708e+07 4.322602230186471716e+05 1.146916223203205736e+06 4.568504175073609222e+05 -2.707871187170465011e+06 6.388109510948847048e+06 -2.066494545557336882e+06 -2.831606296174592897e+07
-1.570174848272344752e+04 -2.409183946248292625e+08 1.146916223203205736e+06 3.067255812767976895e+07 2.837413217367294710e+06 -2.263109721608117968e+07 7.071671203691250086e+07 -1.958002509268315881e+07 -7.025079806569388509e+07
-4.119697880316759438e+03 -4.419943803020640044e+05 4.568504175073609222e+05 2.837413217367294710e+06 6.123368598170727491e+05 -3.962475252920375671e+06 1.063523463338211551e+07 -3.015977257666781545e+06 -3.002955240225333348e+07
2.804291742526219605e+04 5.232346663939095289e+07 -2.707871187170465011e+06 -2.263109721608117968e+07 -3.962475252920375671e+06 2.725493796365044266e+07 -7.455617562406976521e+07 2.087111247177703306e+07 1.784472305404864252e+08
-5.786658430648387730e+04 -4.966128466762709022e+08 6.388109510948847048e+06 7.071671203691250086e+07 1.063523463338211551e+07 -7.455617562406976521e+07 5.942202126129759550e+08 -5.728128025108200312e+07 -3.811145393661904335e+08
2.091643659383453632e+04 2.957704335499902070e+07 -2.066494545557336882e+06 -1.958002509268315881e+07 -3.015977257666781545e+06 2.087111247177703306e+07 -5.728128025108200312e+07 1.708438883660505340e+07 1.330968348188652992e+08
2.477266137456113356e+05 -1.772291416030006170e+09 -2.831606296174592897e+07 -7.025079806569388509e+07 -3.002955240225333348e+07 1.784472305404864252e+08 -3.811145393661904335e+08 1.330968348188652992e+08 1.871743558952609777e+09
