# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.197224069201808423e+07 1.809888416116091609e+07 1.373779234887703751e+03 -2.978991519999573007e+06 4.069825992347798496e+07 -3.509593467278612778e+06 2.455284709617558122e+07 -1.709935038045525253e+08 2.024442198562307954e+08 -1.493009140937783010e+07 -5.246338425534188002e+07
1.809888416116091609e+07 6.420535518151922524e+07 5.297127611489153196e+02 -9.548547901792621240e+06 1.806651208294130117e+07 -1.057910977533489279e+07 5.255301849630292505e+07 -3.714255587434020042e+08 5.326004265778431296e+08 -6.210477273754685372e+07 -1.728206825344386995e+08
1.373779234887703751e+03 5.297127611489153196e+02 8.539102976201515260e-02 -8.833377758040586514e+01 2.083087742403748962e+03 -1.019912728920392908e+02 7.436174595007189509e+02 -6.015485616879091140e+03 6.092013105278228068e+03 -4.207962452235570936e+02 -1.447926066286671357e+03
-2.978991519999573007e+06 -9.548547901792621240e+06 -8.833377758040586514e+01 1.620098209889679682e+06 -2.995131044459281489e+06 1.665487555987023748e+06 -7.874682114977116697e+06 8.962045247423961759e+07 -9.208528696893307567e+07 7.904856925453281030e+06 2.469263517142139375e+07
4.069825992347798496e+07 1.806651208294130117e+07 2.083087742403748962e+03 -2.995131044459281489e+06 5.695418187646214664e+07 -3.467188495865505189e+06 2.506172141154921427e+07 -1.995128404991325736e+08 2.057711232375246584e+08 -1.456430711832027696e+07 -4.972066551336956769e+07
-3.509593467278612778e+06 -1.057910977533489279e+07 -1.019912728920392908e+02 1.665487555987023748e+06 -3.467188495865505189e+06 1.869300777075284161e+06 -9.549874353896776214e+06 5.903920427528215945e+07 -9.619856075317689776e+07 9.608029446400146931e+06 3.031578046141017228e+07
2.455284709617558122e+07 5.255301849630292505e+07 7.436174595007189509e+02 -7.874682114977116697e+06 2.506172141154921427e+07 -9.549874353896776214e+06 5.460677309330180287e+07 -1.733673073974443674e+08 4.739358014857416749e+08 -5.026760343685199320e+07 -1.632366510751239359e+08
-1.709935038045525253e+08 -3.714255587434020042e+08 -6.015485616879091140e+03 8.962045247423961759e+07 -1.995128404991325736e+08 5.903920427528215945e+07 -1.733673073974443674e+08 1.506854919070062447e+10 -4.982482961747323990e+09 1.278712572841173708e+08 2.805801974891895056e+08
2.024442198562307954e+08 5.326004265778431296e+08 6.092013105278228068e+03 -9.208528696893307567e+07 2.057711232375246584e+08 -9.619856075317689776e+07 4.739358014857416749e+08 -4.982482961747323990e+09 5.365384384020936966e+09 -4.281328131073753834e+08 -1.411331551851234674e+09
-1.493009140937783010e+07 -6.210477273754685372e+07 -4.207962452235570936e+02 7.904856925453281030e+06 -1.456430711832027696e+07 9.608029446400146931e+06 -5.026760343685199320e+07 1.278712572841173708e+08 -4.281328131073753834e+08 6.902176716360545158e+07 1.743397124148252010e+08
-5.246338425534188002e+07 -1.728206825344386995e+08 -1.447926066286671357e+03 2.469263517142139375e+07 -4.972066551336956769e+07 3.031578046141017228e+07 -1.632366510751239359e+08 2.805801974891895056e+08 -1.411331551851234674e+09 1.743397124148252010e+08 7.253613933763562441e+08
