# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
4.844402866708226793e+04 -1.155044344196771970e+06 -1.428601259352357431e+02 2.217157988005472289e+05 2.279374126104573079e+05 -1.361431620151764480e+06 1.196139252412721328e+07 -1.332372703541211970e+07 8.700176753957123728e+05 3.360606328757467214e+06
-1.155044344196771970e+06 6.145300445802529901e+07 2.726671828663304495e+03 -9.397068086976133287e+06 -1.002829023384670354e+07 4.964152855114044249e+07 -3.746854509646806121e+08 5.076188751193679571e+08 -5.993627005540838838e+07 -1.642013462826211751e+08
-1.428601259352357431e+02 2.726671828663304495e+03 6.208804812260504402e-01 -5.308040648591719446e+02 -5.431127609835158410e+02 3.714605755043834506e+03 -3.251894934137165183e+04 3.295560330675887235e+04 -2.036969498048814330e+03 -7.762741871169190745e+03
2.217157988005472289e+05 -9.397068086976133287e+06 -5.308040648591719446e+02 1.655523781793166185e+06 1.632709781544291181e+06 -7.779465400735519826e+06 9.354900474632184207e+07 -9.142196228287795186e+07 7.793099409660883248e+06 2.413900254260423407e+07
2.279374126104573079e+05 -1.002829023384670354e+07 -5.431127609835158410e+02 1.632709781544291181e+06 1.757186688473768299e+06 -8.964920393787264824e+06 5.937166837263187021e+07 -9.100984270258244872e+07 9.188274682564515620e+06 2.857855899595846608e+07
-1.361431620151764480e+06 4.964152855114044249e+07 3.714605755043834506e+03 -7.779465400735519826e+06 -8.964920393787264824e+06 5.171328655510120094e+07 -1.804036705232055187e+08 4.484003844296489954e+08 -4.793329685657175630e+07 -1.539402548119456172e+08
1.196139252412721328e+07 -3.746854509646806121e+08 -3.251894934137165183e+04 9.354900474632184207e+07 5.937166837263187021e+07 -1.804036705232055187e+08 1.538441472331849670e+10 -5.066655685100918770e+09 1.313032797347543985e+08 2.820768539713947177e+08
-1.332372703541211970e+07 5.076188751193679571e+08 3.295560330675887235e+04 -9.142196228287795186e+07 -9.100984270258244872e+07 4.484003844296489954e+08 -5.066655685100918770e+09 5.139587321970318794e+09 -4.095196364146777987e+08 -1.330295132977987528e+09
8.700176753957123728e+05 -5.993627005540838838e+07 -2.036969498048814330e+03 7.793099409660883248e+06 9.188274682564515620e+06 -4.793329685657175630e+07 1.313032797347543985e+08 -4.095196364146777987e+08 6.718103916176860034e+07 1.676215083763410151e+08
3.360606328757467214e+06 -1.642013462826211751e+08 -7.762741871169190745e+03 2.413900254260423407e+07 2.857855899595846608e+07 -1.539402548119456172e+08 2.820768539713947177e+08 -1.330295132977987528e+09 1.676215083763410151e+08 6.983208878880510330e+08
