# ombh2 mnu tau nnu ns theta logA omch2
1.069142760133706093e+10 2.738253250798372924e+07 -2.404731123298417330e+08 -3.323769842306497158e+05 5.143016416519251466e+07 -4.954647328197845221e+08 2.892927356506875157e+07 -1.780249501913304329e+09
2.738253250798372924e+07 4.346512872561911936e+05 1.156092677841045428e+06 4.589913985716390307e+05 -2.724639490046822466e+06 6.412755773656243458e+06 -2.078988330554166809e+06 -2.846399510233538970e+07
-2.404731123298417330e+08 1.156092677841045428e+06 3.072320189123605937e+07 2.845898689791735727e+06 -2.270191584579639882e+07 7.082370351693272591e+07 -1.963573423354121670e+07 -7.080698418860650063e+07
-3.323769842306497158e+05 4.589913985716390307e+05 2.845898689791735727e+06 6.141472635042621987e+05 -3.977378424840144813e+06 1.065491328292931989e+07 -3.027173799881810322e+06 -3.015882466917539760e+07
5.143016416519251466e+07 -2.724639490046822466e+06 -2.270191584579639882e+07 -3.977378424840144813e+06 2.737609229877998680e+07 -7.472784784781888127e+07 2.096185833303080127e+07 1.794761644481703341e+08
-4.954647328197845221e+08 6.412755773656243458e+06 7.082370351693272591e+07 1.065491328292931989e+07 -7.472784784781888127e+07 5.944213418880598545e+08 -5.741328088416326791e+07 -3.825592342601925731e+08
2.892927356506875157e+07 -2.078988330554166809e+06 -1.963573423354121670e+07 -3.027173799881810322e+06 2.096185833303080127e+07 -5.741328088416326791e+07 1.715344141348427534e+07 1.338607556261474341e+08
-1.780249501913304329e+09 -2.846399510233538970e+07 -7.080698418860650063e+07 -3.015882466917539760e+07 1.794761644481703341e+08 -3.825592342601925731e+08 1.338607556261474341e+08 1.880825015781990290e+09
