# logA m_wdm mnu nnu ns ombh2 omch2 tau theta
6.407576333567341417e+07 3.455342667621151486e+04 -9.524570487532461062e+06 -1.055671683056446351e+07 5.238264281306081265e+07 -3.702512896384665966e+08 5.311140401390580535e+08 -6.200419325305853039e+07 -1.725416134225945175e+08
3.455342667621151486e+04 8.278136292914655314e+01 -6.082760621368484863e+03 -6.949241838834368536e+03 4.614198813686707581e+04 -3.544266482675415464e+05 4.074262419846789562e+05 -2.607701293236622587e+04 -1.013440282672244066e+05
-9.524570487532461062e+06 -6.082760621368484863e+03 1.615571528454565909e+06 1.661232006984653883e+06 -7.842899993457434699e+06 8.939287240680120885e+07 -9.180289621180868149e+07 7.886944866430840455e+06 2.463966415178276226e+07
-1.055671683056446351e+07 -6.949241838834368536e+03 1.661232006984653883e+06 1.865472153377688257e+06 -9.520363360538633540e+06 5.883259225225254148e+07 -9.593752879899407923e+07 9.591108765596909449e+06 3.027007626560885087e+07
5.238264281306081265e+07 4.614198813686707581e+04 -7.842899993457434699e+06 -9.520363360538633540e+06 5.438072674235155433e+07 -1.717622594031743705e+08 4.719655913972617984e+08 -5.013747085846273601e+07 -1.628743072836990952e+08
-3.702512896384665966e+08 -3.544266482675415464e+05 8.939287240680120885e+07 5.883259225225254148e+07 -1.717622594031743705e+08 1.505727187976918411e+10 -4.968369980059380531e+09 1.270208593590735346e+08 2.781255611234261990e+08
5.311140401390580535e+08 4.074262419846789562e+05 -9.180289621180868149e+07 -9.593752879899407923e+07 4.719655913972617984e+08 -4.968369980059380531e+09 5.347880170577459335e+09 -4.270263323521983624e+08 -1.408140650692680120e+09
-6.200419325305853039e+07 -2.607701293236622587e+04 7.886944866430840455e+06 9.591108765596909449e+06 -5.013747085846273601e+07 1.270208593590735346e+08 -4.270263323521983624e+08 6.893918316341005266e+07 1.741235179160789847e+08
-1.725416134225945175e+08 -1.013440282672244066e+05 2.463966415178276226e+07 3.027007626560885087e+07 -1.628743072836990952e+08 2.781255611234261990e+08 -1.408140650692680120e+09 1.741235179160789847e+08 7.248321850901055336e+08
