# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.763699996626491338e+04 -7.920985838692125469e+00 7.049235368499519303e+06 1.081615172022491461e+05 3.242642822971557034e+05 1.072756618045525684e+05 -6.942175281870613107e+05 1.459205799162139418e+06 -5.091932502738885232e+05 -6.739998438854844309e+06
-7.920985838692125469e+00 3.633712167480838539e-03 -2.006320117779358952e+03 -2.884201628677101681e+01 -1.111222560798457124e+02 -2.867999184823637648e+01 2.022464725428137342e+02 -3.926418608043612153e+02 1.483986712626129645e+02 1.789003750553691134e+03
7.049235368499519303e+06 -2.006320117779358952e+03 1.091204417292553902e+10 3.008274979222704843e+07 -2.370352045985956192e+08 8.301703204982337775e+04 4.356461480222584307e+07 -4.930334544242033958e+08 2.539395253574341908e+07 -1.847221113989960194e+09
1.081615172022491461e+05 -2.884201628677101681e+01 3.008274979222704843e+07 4.643535462344672414e+05 1.146252608086113818e+06 4.527319513170726714e+05 -2.762448434979239479e+06 6.261958381016599946e+06 -2.062465510526135098e+06 -2.876405191656113788e+07
3.242642822971557034e+05 -1.111222560798457124e+02 -2.370352045985956192e+08 1.146252608086113818e+06 2.984599747425983101e+07 2.687589863656436559e+06 -2.181282759307963029e+07 6.802284901980087161e+07 -1.877914258102891594e+07 -6.448958891248561442e+07
1.072756618045525684e+05 -2.867999184823637648e+01 8.301703204982337775e+04 4.527319513170726714e+05 2.687589863656436559e+06 5.679316947130094049e+05 -3.751005024022663478e+06 9.936977278198659420e+06 -2.810420917817831039e+06 -2.806559794961625338e+07
-6.942175281870613107e+05 2.022464725428137342e+02 4.356461480222584307e+07 -2.762448434979239479e+06 -2.181282759307963029e+07 -3.751005024022663478e+06 2.633627290478627011e+07 -7.097740409602241218e+07 1.988011401595345885e+07 1.706951969816532433e+08
1.459205799162139418e+06 -3.926418608043612153e+02 -4.930334544242033958e+08 6.261958381016599946e+06 6.802284901980087161e+07 9.936977278198659420e+06 -7.097740409602241218e+07 5.831609489264403582e+08 -5.389610941562441736e+07 -3.495834022111203074e+08
-5.091932502738885232e+05 1.483986712626129645e+02 2.539395253574341908e+07 -2.062465510526135098e+06 -1.877914258102891594e+07 -2.810420917817831039e+06 1.988011401595345885e+07 -5.389610941562441736e+07 1.610372431235729158e+07 1.245278475714853704e+08
-6.739998438854844309e+06 1.789003750553691134e+03 -1.847221113989960194e+09 -2.876405191656113788e+07 -6.448958891248561442e+07 -2.806559794961625338e+07 1.706951969816532433e+08 -3.495834022111203074e+08 1.245278475714853704e+08 1.795840331701563120e+09
