# m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.404467034489402195e-03 -1.876622515746953013e+03 -3.202874664332718879e+01 -1.374338053031815718e+02 -3.654044270435706210e+01 2.438871889856076223e+02 -5.314610448964004945e+02 1.820430171512058450e+02 2.146857580609220804e+03
-1.876622515746953013e+03 1.506814980456047249e+10 8.963129985741259158e+07 1.278631722943148315e+08 5.902415858347924799e+07 -1.733522034530528188e+08 2.800184075747374892e+08 -3.714145694897632003e+08 -4.981681631019899368e+09
-3.202874664332718879e+01 8.963129985741259158e+07 1.619303982138021616e+06 7.904683775308816694e+06 1.666213111060899682e+06 -7.874376540541719645e+06 2.472536961775906384e+07 -9.548318364379486069e+06 -9.212160438768871129e+07
-1.374338053031815718e+02 1.278631722943148315e+08 7.904683775308816694e+06 6.902096854580824077e+07 9.607869060403270647e+06 -5.026634154714571685e+07 1.743377029480947256e+08 -6.210380324155724049e+07 -4.281221682757458687e+08
-3.654044270435706210e+01 5.902415858347924799e+07 1.666213111060899682e+06 9.607869060403270647e+06 1.868485350501239533e+06 -9.549595538974532858e+06 3.028147770681634545e+07 -1.057889981664568745e+07 -9.615636413459412754e+07
2.438871889856076223e+02 -1.733522034530528188e+08 -7.874376540541719645e+06 -5.026634154714571685e+07 -9.549595538974532858e+06 5.460458250510742515e+07 -1.632332915298212469e+08 5.255137973757354170e+07 4.739169089739929438e+08
-5.314610448964004945e+02 2.800184075747374892e+08 2.472536961775906384e+07 1.743377029480947256e+08 3.028147770681634545e+07 -1.632332915298212469e+08 7.238712999927661419e+08 -1.728181187825207114e+08 -1.409575142551334143e+09
1.820430171512058450e+02 -3.714145694897632003e+08 -9.548318364379486069e+06 -6.210380324155724049e+07 -1.057889981664568745e+07 5.255137973757354170e+07 -1.728181187825207114e+08 6.420411576604688168e+07 5.325862838960106373e+08
2.146857580609220804e+03 -4.981681631019899368e+09 -9.212160438768871129e+07 -4.281221682757458687e+08 -9.615636413459412754e+07 4.739169089739929438e+08 -1.409575142551334143e+09 5.325862838960106373e+08 5.363192778333086967e+09
