# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.760867951306159375e+04 -9.159171705473200120e+01 7.043157241013357416e+06 1.080554576810590515e+05 3.238918350283578038e+05 1.071907833911333000e+05 -6.935322942390197422e+05 1.458258156960294349e+06 -5.086872938430376817e+05 -6.733916795492241159e+06
-9.159171705473200120e+01 4.575132354024400994e-01 -2.318411194432815319e+04 -3.348101326511687148e+02 -1.272391351279914488e+03 -3.330858108080299758e+02 2.334887776151118487e+03 -4.561613010128727183e+03 1.713719931296069262e+03 2.077774982992377409e+04
7.043157241013357416e+06 -2.318411194432815319e+04 1.091075839347225761e+10 3.005975331572859734e+07 -2.371077498135223985e+08 6.551804776017606491e+04 4.370966749390830845e+07 -4.932138145186074972e+08 2.549878931616079807e+07 -1.845914832727445364e+09
1.080554576810590515e+05 -3.348101326511687148e+02 3.005975331572859734e+07 4.639570531486657565e+05 1.144882714269326301e+06 4.524138690071193269e+05 -2.759895313435979653e+06 6.258410019052556716e+06 -2.060583791026954073e+06 -2.874124570798973739e+07
3.238918350283578038e+05 -1.272391351279914488e+03 -2.371077498135223985e+08 1.144882714269326301e+06 2.983940834415555745e+07 2.686464804885525256e+06 -2.180330311764339358e+07 6.800915413022738695e+07 -1.877172583073659614e+07 -6.441256029473355412e+07
1.071907833911333000e+05 -3.330858108080299758e+02 6.551804776017606491e+04 4.524138690071193269e+05 2.686464804885525256e+06 5.676899404658606509e+05 -3.748981413150309119e+06 9.934433252177925780e+06 -2.808913421046628617e+06 -2.804768234327227250e+07
-6.935322942390197422e+05 2.334887776151118487e+03 4.370966749390830845e+07 -2.759895313435979653e+06 -2.180330311764339358e+07 -3.748981413150309119e+06 2.631954621324367076e+07 -7.095490550825634599e+07 1.986767788162442669e+07 1.705497966045851111e+08
1.458258156960294349e+06 -4.561613010128727183e+03 -4.932138145186074972e+08 6.258410019052556716e+06 6.800915413022738695e+07 9.934433252177925780e+06 -7.095490550825634599e+07 5.831359844390757084e+08 -5.387891672939080000e+07 -3.493889864771387577e+08
-5.086872938430376817e+05 1.713719931296069262e+03 2.549878931616079807e+07 -2.060583791026954073e+06 -1.877172583073659614e+07 -2.808913421046628617e+06 1.986767788162442669e+07 -5.387891672939080000e+07 1.609435805226876587e+07 1.244208628857506663e+08
-6.733916795492241159e+06 2.077774982992377409e+04 -1.845914832727445364e+09 -2.874124570798973739e+07 -6.441256029473355412e+07 -2.804768234327227250e+07 1.705497966045851111e+08 -3.493889864771387577e+08 1.244208628857506663e+08 1.794536179893650532e+09
