# A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
3.195971901192832738e+07 3.639898562781978399e+03 -1.306206607618305236e+08 -2.239180240239278413e+06 -1.322870761393102817e+07 -2.664949011356878094e+06 1.886861693042694032e+07 -4.056597688550781459e+07 1.466083959729138762e+07 1.508186561074854136e+08 4.067886881813635677e+07
3.639898562781978399e+03 6.408313116107510199e-01 -1.361400128889591542e+04 -1.931233377854579487e+02 -1.007969018253022796e+03 -2.226568586306007944e+02 1.632870570136090009e+03 -3.168223213318876333e+03 1.205301941488751254e+03 1.322191529242031356e+04 5.604591927678224238e+03
-1.306206607618305236e+08 -1.361400128889591542e+04 1.069122500601084328e+10 2.737857875553681329e+07 -2.404868975067849755e+08 -3.356738747107264935e+05 5.145760309274134785e+07 -4.954989280556844473e+08 2.894902484489582106e+07 -1.780006902324800730e+09 -1.673983344287490249e+08
-2.239180240239278413e+06 -1.931233377854579487e+02 2.737857875553681329e+07 4.345782284798785113e+05 1.155806811456963187e+06 4.589260390927371336e+05 -2.724119884653525893e+06 6.412006104301139712e+06 -2.078603453022614587e+06 -2.845944081685982272e+07 -2.467261212429425679e+06
-1.322870761393102817e+07 -1.007969018253022796e+03 -2.404868975067849755e+08 1.155806811456963187e+06 3.072161287333305180e+07 2.845634230351679958e+06 -2.269968189300717041e+07 7.082038300746598840e+07 -1.963399053209642321e+07 -7.078946336223256588e+07 -1.360338676015187986e+07
-2.664949011356878094e+06 -2.226568586306007944e+02 -3.356738747107264935e+05 4.589260390927371336e+05 2.845634230351679958e+06 6.140920862451333087e+05 -3.976915890784857329e+06 1.065431699695266783e+07 -3.026828886240062304e+06 -3.015483967595614120e+07 -2.861754045879583806e+06
1.886861693042694032e+07 1.632870570136090009e+03 5.145760309274134785e+07 -2.724119884653525893e+06 -2.269968189300717041e+07 -3.976915890784857329e+06 2.737227876923466101e+07 -7.472253017736753821e+07 2.095902192754877731e+07 1.794439573693173230e+08 2.070350101134816557e+07
-4.056597688550781459e+07 -3.168223213318876333e+03 -4.954989280556844473e+08 6.412006104301139712e+06 7.082038300746598840e+07 1.065431699695266783e+07 -7.472253017736753821e+07 5.944153201354058981e+08 -5.740922846352847666e+07 -3.825147736745044589e+08 -4.155411706161233038e+07
1.466083959729138762e+07 1.205301941488751254e+03 2.894902484489582106e+07 -2.078603453022614587e+06 -1.963399053209642321e+07 -3.026828886240062304e+06 2.095902192754877731e+07 -5.740922846352847666e+07 1.715129763817185163e+07 1.338370007204757929e+08 1.571859204125384055e+07
1.508186561074854136e+08 1.322191529242031356e+04 -1.780006902324800730e+09 -2.845944081685982272e+07 -7.078946336223256588e+07 -3.015483967595614120e+07 1.794439573693173230e+08 -3.825147736745044589e+08 1.338370007204757929e+08 1.880542844522847652e+09 1.674907358612102866e+08
4.067886881813635677e+07 5.604591927678224238e+03 -1.673983344287490249e+08 -2.467261212429425679e+06 -1.360338676015187986e+07 -2.861754045879583806e+06 2.070350101134816557e+07 -4.155411706161233038e+07 1.571859204125384055e+07 1.674907358612102866e+08 5.692223604020117223e+07
