# ombh2 mnu tau nnu ns theta logA omch2
1.506841466283932495e+10 8.963664060218450427e+07 1.278835455845633447e+08 5.902905100640352815e+07 -1.733903005358294249e+08 2.800768395407618284e+08 -3.714424457095018625e+08 -4.982017693956339836e+09
8.963664060218450427e+07 1.619409739042145666e+06 7.905109496422621422e+06 1.666313403499423061e+06 -7.875127620909037068e+06 2.472662357802085951e+07 -9.548884269663099200e+06 -9.212828934016580880e+07
1.278835455845633447e+08 7.905109496422621422e+06 6.902296511830559373e+07 9.608275942619543523e+06 -5.026947007404019684e+07 1.743429378577983677e+08 -6.210622094442043453e+07 -4.281488569134690166e+08
5.902905100640352815e+07 1.666313403499423061e+06 9.608275942619543523e+06 1.868576817014780594e+06 -9.550300926232427359e+06 3.028258018453270942e+07 -1.057943418099169619e+07 -9.616262001815603673e+07
-1.733903005358294249e+08 -7.875127620909037068e+06 -5.026947007404019684e+07 -9.550300926232427359e+06 5.461000497712328285e+07 -1.632420090629209578e+08 5.255544961386366934e+07 4.739642001852717400e+08
2.800768395407618284e+08 2.472662357802085951e+07 1.743429378577983677e+08 3.028258018453270942e+07 -1.632420090629209578e+08 7.238842226449581385e+08 -1.728248230775693357e+08 -1.409652224982867718e+09
-3.714424457095018625e+08 -9.548884269663099200e+06 -6.210622094442043453e+07 -1.057943418099169619e+07 5.255544961386366934e+07 -1.728248230775693357e+08 6.420720921483318508e+07 5.326218762541039586e+08
-4.982017693956339836e+09 -9.212828934016580880e+07 -4.281488569134690166e+08 -9.616262001815603673e+07 4.739642001852717400e+08 -1.409652224982867718e+09 5.326218762541039586e+08 5.363613510511172295e+09
