# A_ksz logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.186062829184404388e+07 1.806273745717142522e+07 4.329344271030959499e+04 -2.972640442875257693e+06 4.052637797920983285e+07 -3.503452016171616036e+06 2.450222961526789516e+07 -1.706355937143879831e+08 2.020380058471646309e+08 -1.490102259176023118e+07 -5.238743220452148467e+07
1.806273745717142522e+07 6.418405360523585230e+07 1.736331871622734252e+04 -9.544609386410992593e+06 1.802100757604801282e+07 -1.057544974615092576e+07 5.252488721284892410e+07 -3.712339282063858509e+08 5.323561232228876352e+08 -6.208819668219681084e+07 -1.727753530256556273e+08
4.329344271030959499e+04 1.736331871622734252e+04 8.073675644834639797e+01 -2.897931772449409891e+03 6.482447410851632594e+04 -3.352224261022190603e+03 2.428791758962684980e+04 -1.939246964331395866e+05 1.995154354977948533e+05 -1.380665088568449937e+04 -4.785169414110340585e+04
-2.972640442875257693e+06 -9.544609386410992593e+06 -2.897931772449409891e+03 1.619355365416381042e+06 -2.987169418406540994e+06 1.664792407360743731e+06 -7.869440427387560718e+06 8.958334881852321327e+07 -9.203892858857132494e+07 7.901905290529649705e+06 2.468403028121317551e+07
4.052637797920983285e+07 1.802100757604801282e+07 6.482447410851632594e+04 -2.987169418406540994e+06 5.667192748253826797e+07 -3.459473181364163756e+06 2.499644849442021921e+07 -1.990419147532157302e+08 2.052567371251858175e+08 -1.452793340611884929e+07 -4.962686482534303516e+07
-3.503452016171616036e+06 -1.057544974615092576e+07 -3.352224261022190603e+03 1.664792407360743731e+06 -3.459473181364163756e+06 1.868679626130222809e+06 -9.545027573833437636e+06 5.900577083010945469e+07 -9.615591342041841149e+07 9.605254257583396509e+06 3.030842891090221331e+07
2.450222961526789516e+07 5.252488721284892410e+07 2.428791758962684980e+04 -7.869440427387560718e+06 2.499644849442021921e+07 -9.545027573833437636e+06 5.456927187717107683e+07 -1.731042443217943311e+08 4.736104220532270074e+08 -5.024605473167124391e+07 -1.631774819056400359e+08
-1.706355937143879831e+08 -3.712339282063858509e+08 -1.939246964331395866e+05 8.958334881852321327e+07 -1.990419147532157302e+08 5.900577083010945469e+07 -1.731042443217943311e+08 1.506673286823201752e+10 -4.980181545799363136e+09 1.277318287825307101e+08 2.801865888482863903e+08
2.020380058471646309e+08 5.323561232228876352e+08 1.995154354977948533e+05 -9.203892858857132494e+07 2.052567371251858175e+08 -9.615591342041841149e+07 4.736104220532270074e+08 -4.980181545799363136e+09 5.362508534865305901e+09 -4.279503064086762071e+08 -1.410813475455818176e+09
-1.490102259176023118e+07 -6.208819668219681084e+07 -1.380665088568449937e+04 7.901905290529649705e+06 -1.452793340611884929e+07 9.605254257583396509e+06 -5.024605473167124391e+07 1.277318287825307101e+08 -4.279503064086762071e+08 6.900813908781228960e+07 1.743044698127282858e+08
-5.238743220452148467e+07 -1.727753530256556273e+08 -4.785169414110340585e+04 2.468403028121317551e+07 -4.962686482534303516e+07 3.030842891090221331e+07 -1.631774819056400359e+08 2.801865888482863903e+08 -1.410813475455818176e+09 1.743044698127282858e+08 7.252773600148942471e+08
