# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.197442916946283728e+07 -8.947361396261136979e+05 1.687980551343591139e+07 6.178290388720972715e+02 -3.109007273233587388e+06 4.070149657679443061e+07 -3.244538883434401359e+06 2.329253243478605524e+07 -1.876254446575235128e+08 1.939166522946757376e+08 -1.377441843047141470e+07 -4.759679727261248976e+07
-8.947361396261136979e+05 4.850333395465058857e+04 -1.156113583296546480e+06 -1.270000162938635668e+01 2.219368269992574642e+05 -9.268576068070903420e+05 2.281246854037096491e+05 -1.362869950995227788e+06 1.197334865578352287e+07 -1.333656470229467005e+07 8.708113937993306899e+05 3.362880696319048759e+06
1.687980551343591139e+07 -1.156113583296546480e+06 6.147233376417072117e+07 2.371204045609775619e+02 -9.401009575557099655e+06 1.686046284562022239e+07 -1.003159966897957772e+07 4.966732251069501042e+07 -3.748934564523859620e+08 5.078471114993788600e+08 -5.995109162733678520e+07 -1.642414918270340562e+08
6.178290388720972715e+02 -1.270000162938635668e+01 2.371204045609775619e+02 2.075763564100539804e-02 -4.469730918880383541e+01 9.512865634341377472e+02 -4.552270537060566369e+01 3.327749869066482233e+02 -2.907865261890541206e+03 2.782187067586427020e+03 -1.863106058339298841e+02 -6.437014494520446988e+02
-3.109007273233587388e+06 2.219368269992574642e+05 -9.401009575557099655e+06 -4.469730918880383541e+01 1.656342186355269281e+06 -3.164375977486226708e+06 1.633401641690442339e+06 -7.784776831770921126e+06 9.359319240179154277e+07 -9.146963818274641037e+07 7.796013188613998704e+06 2.414737921379062906e+07
4.070149657679443061e+07 -9.268576068070903420e+05 1.686046284562022239e+07 9.512865634341377472e+02 -3.164375977486226708e+06 5.695936425378286839e+07 -3.195024436936231330e+06 2.368699263439936936e+07 -2.185010780912834108e+08 1.974048673129663765e+08 -1.337633718122227676e+07 -4.456216462685869634e+07
-3.244538883434401359e+06 2.281246854037096491e+05 -1.003159966897957772e+07 -4.552270537060566369e+01 1.633401641690442339e+06 -3.195024436936231330e+06 1.757747240547593450e+06 -8.969343469132198021e+06 5.940787302580676973e+07 -9.104955423724296689e+07 9.190745849607868120e+06 2.858506413922590390e+07
2.329253243478605524e+07 -1.362869950995227788e+06 4.966732251069501042e+07 3.327749869066482233e+02 -7.784776831770921126e+06 2.368699263439936936e+07 -8.969343469132198021e+06 5.174793801540315151e+07 -1.806910646355296373e+08 4.487074133519851565e+08 -4.795273717292399704e+07 -1.539930200798350573e+08
-1.876254446575235128e+08 1.197334865578352287e+07 -3.748934564523859620e+08 -2.907865261890541206e+03 9.359319240179154277e+07 -2.185010780912834108e+08 5.940787302580676973e+07 -1.806910646355296373e+08 1.538677658428878593e+10 -5.069214954545777321e+09 1.314529635486525744e+08 2.824970849757465124e+08
1.939166522946757376e+08 -1.333656470229467005e+07 5.078471114993788600e+08 2.782187067586427020e+03 -9.146963818274641037e+07 1.974048673129663765e+08 -9.104955423724296689e+07 4.487074133519851565e+08 -5.069214954545777321e+09 5.142350472118730545e+09 -4.096876385941994190e+08 -1.330768031644752502e+09
-1.377441843047141470e+07 8.708113937993306899e+05 -5.995109162733678520e+07 -1.863106058339298841e+02 7.796013188613998704e+06 -1.337633718122227676e+07 9.190745849607868120e+06 -4.795273717292399704e+07 1.314529635486525744e+08 -4.096876385941994190e+08 6.719306632115775347e+07 1.676522684254208803e+08
-4.759679727261248976e+07 3.362880696319048759e+06 -1.642414918270340562e+08 -6.437014494520446988e+02 2.414737921379062906e+07 -4.456216462685869634e+07 2.858506413922590390e+07 -1.539930200798350573e+08 2.824970849757465124e+08 -1.330768031644752502e+09 1.676522684254208803e+08 6.983939557570681572e+08
