# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.757313871920700694e+04 -2.485525734110645999e+02 7.035452420250156894e+06 1.079209190982466680e+05 3.234228630553233670e+05 1.070832334386944131e+05 -6.926658566706961719e+05 1.457058218662048457e+06 -5.080477419722057530e+05 -6.726217259940969758e+06
-2.485525734110645999e+02 3.315048568509897819e+00 -6.288482988887788088e+04 -9.090141733458513045e+02 -3.447776909827395230e+03 -9.048471355272641858e+02 6.332729266390896555e+03 -1.239914843398294397e+04 4.649534703872144746e+03 5.642478774151162361e+04
7.035452420250156894e+06 -6.288482988887788088e+04 1.090909991667114830e+10 3.003024367042969167e+07 -2.372001831433484554e+08 4.302924124951289559e+04 4.389550860507346690e+07 -4.934460820167513490e+08 2.563294187572204322e+07 -1.844240764937331676e+09
1.079209190982466680e+05 -9.090141733458513045e+02 3.003024367042969167e+07 4.634495423511871486e+05 1.143137545629567467e+06 4.520063849890488782e+05 -2.756632358887559269e+06 6.253858324335610494e+06 -2.058180208624117076e+06 -2.871208632114191353e+07
3.234228630553233670e+05 -3.447776909827395230e+03 -2.372001831433484554e+08 1.143137545629567467e+06 2.983099946860546991e+07 2.685030427335116081e+06 -2.179116674745139107e+07 6.799165259090662003e+07 -1.876227517002721503e+07 -6.431465728116624057e+07
1.070832334386944131e+05 -9.048471355272641858e+02 4.302924124951289559e+04 4.520063849890488782e+05 2.685030427335116081e+06 5.673798780262473738e+05 -3.746393136074900627e+06 9.931163576067656279e+06 -2.806986498933618423e+06 -2.802476386369706318e+07
-6.926658566706961719e+05 6.332729266390896555e+03 4.389550860507346690e+07 -2.756632358887559269e+06 -2.179116674745139107e+07 -3.746393136074900627e+06 2.629819116043498740e+07 -7.092608294176210463e+07 1.985180947019445151e+07 1.703642646597652137e+08
1.457058218662048457e+06 -1.239914843398294397e+04 -4.934460820167513490e+08 6.253858324335610494e+06 6.799165259090662003e+07 9.931163576067656279e+06 -7.092608294176210463e+07 5.831037515744615793e+08 -5.385690559967963398e+07 -3.491400307194812894e+08
-5.080477419722057530e+05 4.649534703872144746e+03 2.563294187572204322e+07 -2.058180208624117076e+06 -1.876227517002721503e+07 -2.806986498933618423e+06 1.985180947019445151e+07 -5.385690559967963398e+07 1.608241138650639914e+07 1.242844301922393143e+08
-6.726217259940969758e+06 5.642478774151162361e+04 -1.844240764937331676e+09 -2.871208632114191353e+07 -6.431465728116624057e+07 -2.802476386369706318e+07 1.703642646597652137e+08 -3.491400307194812894e+08 1.242844301922393143e+08 1.792870912143278599e+09
