# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.757313871920698875e+04 -6.764982149739849847e+05 -1.917840806940992252e+03 7.035452420250155032e+06 1.079209190982466971e+05 3.234228630553230760e+05 1.070832334386943839e+05 -6.926658566706959391e+05 1.457058218662048457e+06 -5.080477419722056366e+05 -6.726217259940968826e+06 -7.513330432873212267e+05
-6.764982149739849847e+05 3.173567973753997311e+07 1.109212801744216413e+05 -1.463095780450464785e+08 -2.380910073783102445e+06 -1.229986652195118926e+07 -2.495891650044445414e+06 1.805819479333006963e+07 -3.717444257209778577e+07 1.383608509736458026e+07 1.466924377544296086e+08 4.033696667143696547e+07
-1.917840806940992252e+03 1.109212801744216413e+05 5.119401085867282291e+02 -4.830199855782084051e+05 -6.789366400941926258e+03 -3.080080269336753190e+04 -6.799753928930871552e+03 5.044274413775216817e+04 -9.441181582606381562e+04 3.732800100932985515e+04 4.186122276100477320e+05 1.649538951534076477e+05
7.035452420250155032e+06 -1.463095780450464785e+08 -4.830199855782084051e+05 1.090909991667114830e+10 3.003024367042971030e+07 -2.372001831433484554e+08 4.302924124951513659e+04 4.389550860507342964e+07 -4.934460820167513490e+08 2.563294187572202832e+07 -1.844240764937331676e+09 -1.853630901658830345e+08
1.079209190982466971e+05 -2.380910073783102445e+06 -6.789366400941926258e+03 3.003024367042971030e+07 4.634495423511876143e+05 1.143137545629567932e+06 4.520063849890491692e+05 -2.756632358887561131e+06 6.253858324335613288e+06 -2.058180208624118473e+06 -2.871208632114192843e+07 -2.640988108037658501e+06
3.234228630553230760e+05 -1.229986652195118926e+07 -3.080080269336753190e+04 -2.372001831433484554e+08 1.143137545629567932e+06 2.983099946860546991e+07 2.685030427335115615e+06 -2.179116674745138362e+07 6.799165259090662003e+07 -1.876227517002721131e+07 -6.431465728116619587e+07 -1.258085369761841185e+07
1.070832334386943839e+05 -2.495891650044445414e+06 -6.799753928930871552e+03 4.302924124951513659e+04 4.520063849890491692e+05 2.685030427335115615e+06 5.673798780262473738e+05 -3.746393136074900627e+06 9.931163576067656279e+06 -2.806986498933618423e+06 -2.802476386369706318e+07 -2.667714592289648950e+06
-6.926658566706959391e+05 1.805819479333006963e+07 5.044274413775216817e+04 4.389550860507342964e+07 -2.756632358887561131e+06 -2.179116674745138362e+07 -3.746393136074900627e+06 2.629819116043499112e+07 -7.092608294176210463e+07 1.985180947019445524e+07 1.703642646597652435e+08 1.969978013247541338e+07
1.457058218662048457e+06 -3.717444257209778577e+07 -9.441181582606381562e+04 -4.934460820167513490e+08 6.253858324335613288e+06 6.799165259090662003e+07 9.931163576067656279e+06 -7.092608294176210463e+07 5.831037515744615793e+08 -5.385690559967963398e+07 -3.491400307194812894e+08 -3.761612846396283805e+07
-5.080477419722056366e+05 1.383608509736458026e+07 3.732800100932985515e+04 2.563294187572202832e+07 -2.058180208624118473e+06 -1.876227517002721131e+07 -2.806986498933618423e+06 1.985180947019445524e+07 -5.385690559967963398e+07 1.608241138650639728e+07 1.242844301922393143e+08 1.481621327759284712e+07
-6.726217259940968826e+06 1.466924377544296086e+08 4.186122276100477320e+05 -1.844240764937331676e+09 -2.871208632114192843e+07 -6.431465728116619587e+07 -2.802476386369706318e+07 1.703642646597652435e+08 -3.491400307194812894e+08 1.242844301922393143e+08 1.792870912143278599e+09 1.626548506156251132e+08
-7.513330432873212267e+05 4.033696667143696547e+07 1.649538951534076477e+05 -1.853630901658830345e+08 -2.640988108037658501e+06 -1.258085369761841185e+07 -2.667714592289648950e+06 1.969978013247541338e+07 -3.761612846396283805e+07 1.481621327759284712e+07 1.626548506156251132e+08 5.636555259084682912e+07
