# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
2.763845279993292934e+04 -5.092196173644353403e+05 -5.416621725453383718e+00 1.081670203676760430e+05 1.072799740035356081e+05 -6.942531393412926700e+05 7.049544550843664445e+06 -6.740310081785724498e+06 3.242840109277190641e+05 1.459252865543371998e+06
-5.092196173644353403e+05 1.610421831877889298e+07 1.013484310710025795e+02 -2.062564913503071060e+06 -2.810499138103405945e+06 1.988076886806489155e+07 2.538851676201868802e+07 1.245334403994420916e+08 -1.877953537596338242e+07 -5.389698391888790578e+07
-5.416621725453383718e+00 1.013484310710025795e+02 1.648053394017643834e-03 -1.980339766252879130e+01 -1.968303554648270293e+01 1.382086995187314358e+02 -1.373854364764412367e+03 1.228743313513067505e+03 -7.523135602308109071e+01 -2.692086762544929570e+02
1.081670203676760430e+05 -2.062564913503071060e+06 -1.980339766252879130e+01 4.651253413900889573e+05 4.519829250708837644e+05 -2.762582999056703877e+06 3.007096497358425707e+07 -2.872623843593551591e+07 1.146325758386069909e+06 6.228916027305508964e+06
1.072799740035356081e+05 -2.810499138103405945e+06 -1.968303554648270293e+01 4.519829250708837644e+05 5.687243900513994740e+05 -3.751109754257544875e+06 9.706352409511260339e+04 -2.810627841183901951e+07 2.687648968839999288e+06 9.971000010016022250e+06
-6.942531393412926700e+05 1.988076886806489155e+07 1.382086995187314358e+02 -2.762582999056703877e+06 -3.751109754257544875e+06 2.633715172342282161e+07 4.355712907511328161e+07 1.707027781590256393e+08 -2.181333196243434772e+07 -7.097854499122394621e+07
7.049544550843664445e+06 2.538851676201868802e+07 -1.373854364764412367e+03 3.007096497358425707e+07 9.706352409511260339e+04 4.355712907511328161e+07 1.091240586932294273e+10 -1.847957816231322050e+09 -2.370313684901349247e+08 -4.924845672299185991e+08
-6.740310081785724498e+06 1.245334403994420916e+08 1.228743313513067505e+03 -2.872623843593551591e+07 -2.810627841183901951e+07 1.707027781590256393e+08 -1.847957816231322050e+09 1.797933479148953199e+09 -6.449367479803099483e+07 -3.513204365939030051e+08
3.242840109277190641e+05 -1.877953537596338242e+07 -7.523135602308109071e+01 1.146325758386069909e+06 2.687648968839999288e+06 -2.181333196243434772e+07 -2.370313684901349247e+08 -6.449367479803099483e+07 2.984634406166012585e+07 6.802355417514941096e+07
1.459252865543371998e+06 -5.389698391888790578e+07 -2.692086762544929570e+02 6.228916027305508964e+06 9.971000010016022250e+06 -7.097854499122394621e+07 -4.924845672299185991e+08 -3.513204365939030051e+08 6.802355417514941096e+07 5.846477480161883831e+08
