# HMCode_logT_AGN logA m_wdm mnu nnu ns ombh2 omch2 tau theta
4.849835850851258147e+04 -1.156027459706204245e+06 -8.415016926181390744e+00 2.219192299490984879e+05 2.281094081554283330e+05 -1.362754689404993318e+06 1.197237437663569860e+07 -1.333552454779594764e+07 8.707472789580713725e+05 3.362690981808141340e+06
-1.156027459706204245e+06 6.147084412118604034e+07 1.603826021951874452e+02 -9.400709060833308846e+06 -1.003134267316534743e+07 4.966535288150523603e+07 -3.748772912156568766e+08 5.078294285711163878e+08 -5.994994584237247705e+07 -1.642383213232446313e+08
-8.415016926181390744e+00 1.603826021951874452e+02 2.211643266718280390e-03 -3.123616723254384908e+01 -3.193508176976957103e+01 2.188409014601460854e+02 -1.918062851392395260e+03 1.939512009864244646e+03 -1.197417605868891997e+02 -4.559031937033013264e+02
2.219192299490984879e+05 -9.400709060833308846e+06 -3.123616723254384908e+01 1.656280377472755499e+06 1.633348574422930600e+06 -7.784375129385190085e+06 9.358980048640456796e+07 -9.146598443252165616e+07 7.795790333443462849e+06 2.414672763428635895e+07
2.281094081554283330e+05 -1.003134267316534743e+07 -3.193508176976957103e+01 1.633348574422930600e+06 1.757703231294544181e+06 -8.969003096494855359e+06 5.940503437826476991e+07 -9.104645036225742102e+07 9.190553292701898143e+06 2.858454132716361061e+07
-1.362754689404993318e+06 4.966535288150523603e+07 2.188409014601460854e+02 -7.784375129385190085e+06 -8.969003096494855359e+06 5.174531153893350810e+07 -1.806689756824878752e+08 4.486838117869690657e+08 -4.795124924307461828e+07 -1.539888931584444344e+08
1.197237437663569860e+07 -3.748772912156568766e+08 -1.918062851392395260e+03 9.358980048640456796e+07 5.940503437826476991e+07 -1.806689756824878752e+08 1.538659147137382889e+10 -5.069015000549551010e+09 1.314412801661770791e+08 2.824634366732892394e+08
-1.333552454779594764e+07 5.078294285711163878e+08 1.939512009864244646e+03 -9.146598443252165616e+07 -9.104645036225742102e+07 4.486838117869690657e+08 -5.069015000549551010e+09 5.142135188925287247e+09 -4.096745787378618717e+08 -1.330730372742358923e+09
8.707472789580713725e+05 -5.994994584237247705e+07 -1.197417605868891997e+02 7.795790333443462849e+06 9.190553292701898143e+06 -4.795124924307461828e+07 1.314412801661770791e+08 -4.096745787378618717e+08 6.719213444464446604e+07 1.676498319871854186e+08
3.362690981808141340e+06 -1.642383213232446313e+08 -4.559031937033013264e+02 2.414672763428635895e+07 2.858454132716361061e+07 -1.539888931584444344e+08 2.824634366732892394e+08 -1.330730372742358923e+09 1.676498319871854186e+08 6.983878922831759453e+08
