# A_ksz HMCode_logT_AGN logA m_wdm mnu n_ksz nnu ns ombh2 omch2 tau theta
3.197224069201808423e+07 -6.796903953465855448e+05 1.389880058685717359e+07 1.349904155172707306e+03 -2.392725654046485666e+06 4.069825992347799242e+07 -2.505928348700953647e+06 1.814258578545017540e+07 -1.470130475118189454e+08 1.473728794852296114e+08 -1.235275302065832913e+07 -3.729621507105869800e+07
-6.796903953465855448e+05 2.764051850476500840e+04 -5.092552702775048092e+05 -2.225967369474450663e+01 1.081743754683140432e+05 -7.556178473009577719e+05 1.072859046627067728e+05 -6.943010353968531126e+05 7.049969317241461948e+06 -6.740734148712271824e+06 3.243108126161578693e+05 1.459319884352976689e+06
1.389880058685717359e+07 -5.092552702775048092e+05 1.610484936190120317e+07 4.312993347258481549e+02 -2.062690948375684908e+06 1.489949245041120425e+07 -2.810599959938700311e+06 1.988160007351048291e+07 2.538150964210293069e+07 1.245406352871428132e+08 -1.878003853715179116e+07 -5.389813405677760392e+07
1.349904155172707306e+03 -2.225967369474450663e+01 4.312993347258481549e+02 8.436698547949311733e-02 -7.873823017079381259e+01 2.060788764037001329e+03 -7.841090868068079089e+01 5.855339947254295794e+02 -5.677215129028809315e+03 4.851788837181873532e+03 -3.539880579328608974e+02 -1.079428942970953813e+03
-2.392725654046485666e+06 1.081743754683140432e+05 -2.062690948375684908e+06 -7.873823017079381259e+01 4.651517015138586285e+05 -2.656898457028298173e+06 4.520040066366228275e+05 -2.762752600028761663e+06 3.007248199651212618e+07 -2.872775664225478098e+07 1.146418676253505051e+06 6.229151217291516252e+06
4.069825992347799242e+07 -7.556178473009577719e+05 1.489949245041120425e+07 2.060788764037001329e+03 -2.656898457028298173e+06 5.695418187646215409e+07 -2.681152277237751987e+06 1.981425394947458059e+07 -1.863471204558618069e+08 1.635746802323362231e+08 -1.264932819579424895e+07 -3.777532704089892656e+07
-2.505928348700953647e+06 1.072859046627067728e+05 -2.810599959938700311e+06 -7.841090868068079089e+01 4.520040066366228275e+05 -2.681152277237751987e+06 5.687403161040276755e+05 -3.751243804830953944e+06 9.821419847093966382e+04 -2.810746726904415339e+07 2.687725367233884055e+06 9.971167002776389942e+06
1.814258578545017540e+07 -6.943010353968531126e+05 1.988160007351048291e+07 5.855339947254295794e+02 -2.762752600028761663e+06 1.981425394947458059e+07 -3.751243804830953944e+06 2.633825993153160810e+07 4.354754794528656453e+07 1.707124705741314292e+08 -2.181397395860819146e+07 -7.098003442453950644e+07
-1.470130475118189454e+08 7.049969317241461948e+06 2.538150964210293069e+07 -5.677215129028809315e+03 3.007248199651212618e+07 -1.863471204558618069e+08 9.821419847093966382e+04 4.354754794528656453e+07 1.091248993441840935e+10 -1.848044214302272320e+09 -2.370264065814943910e+08 -4.924726960086921453e+08
1.473728794852296114e+08 -6.740734148712271824e+06 1.245406352871428132e+08 4.851788837181873532e+03 -2.872775664225478098e+07 1.635746802323362231e+08 -2.810746726904415339e+07 1.707124705741314292e+08 -1.848044214302272320e+09 1.798020405774863482e+09 -6.449894590164363384e+07 -3.513333436158620119e+08
-1.235275302065832913e+07 3.243108126161578693e+05 -1.878003853715179116e+07 -3.539880579328608974e+02 1.146418676253505051e+06 -1.264932819579424895e+07 2.687725367233884055e+06 -2.181397395860819146e+07 -2.370264065814943910e+08 -6.449894590164363384e+07 2.984678940042577684e+07 6.802448342840738595e+07
-3.729621507105869800e+07 1.459319884352976689e+06 -5.389813405677760392e+07 -1.079428942970953813e+03 6.229151217291516252e+06 -3.777532704089892656e+07 9.971167002776389942e+06 -7.098003442453950644e+07 -4.924726960086921453e+08 -3.513333436158620119e+08 6.802448342840738595e+07 5.846493678837318420e+08
