# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.763699996626490247e+04 -6.795188812067701947e+05 -5.902995960845548495e+01 7.049235368499520235e+06 1.081615172022490733e+05 3.242642822971555870e+05 1.072756618045525393e+05 -6.942175281870610779e+05 1.459205799162138952e+06 -5.091932502738884068e+05 -6.739998438854842447e+06 -7.553832019539722241e+05
-6.795188812067701947e+05 3.195971901192832738e+07 3.631263417556277545e+03 -1.469764372401997149e+08 -2.392117186828369275e+06 -1.235004576786774211e+07 -2.505410992255220190e+06 1.813826028522219881e+07 -3.728995858605709672e+07 1.389557151069350168e+07 1.473375630642763972e+08 4.067886881813635677e+07
-5.902995960845548495e+01 3.631263417556277545e+03 6.403260311479936906e-01 -1.507770829821358711e+04 -2.089558550553469445e+02 -9.348420862195147265e+02 -2.079336280746345835e+02 1.554255815157779352e+03 -2.858112995335530286e+03 1.142388128749601492e+03 1.287741466881645647e+04 5.596102838125593735e+03
7.049235368499520235e+06 -1.469764372401997149e+08 -1.507770829821358711e+04 1.091204417292553902e+10 3.008274979222705588e+07 -2.370352045985955596e+08 8.301703204982631723e+04 4.356461480222582817e+07 -4.930334544242033362e+08 2.539395253574341536e+07 -1.847221113989960432e+09 -1.862953971116476059e+08
1.081615172022490733e+05 -2.392117186828369275e+06 -2.089558550553469445e+02 3.008274979222705588e+07 4.643535462344668922e+05 1.146252608086112654e+06 4.527319513170724967e+05 -2.762448434979238547e+06 6.261958381016597152e+06 -2.062465510526133701e+06 -2.876405191656113416e+07 -2.656068268922854681e+06
3.242642822971555870e+05 -1.235004576786774211e+07 -9.348420862195147265e+02 -2.370352045985955596e+08 1.146252608086112654e+06 2.984599747425983474e+07 2.687589863656436559e+06 -2.181282759307963029e+07 6.802284901980087161e+07 -1.877914258102891594e+07 -6.448958891248562932e+07 -1.264575627534890175e+07
1.072756618045525393e+05 -2.505410992255220190e+06 -2.079336280746345835e+02 8.301703204982631723e+04 4.527319513170724967e+05 2.687589863656436559e+06 5.679316947130094049e+05 -3.751005024022663478e+06 9.936977278198659420e+06 -2.810420917817831505e+06 -2.806559794961625710e+07 -2.680446318677813280e+06
-6.942175281870610779e+05 1.813826028522219881e+07 1.554255815157779352e+03 4.356461480222582817e+07 -2.762448434979238547e+06 -2.181282759307963029e+07 -3.751005024022663478e+06 2.633627290478627011e+07 -7.097740409602241218e+07 1.988011401595345885e+07 1.706951969816532731e+08 1.980830044908276200e+07
1.459205799162138952e+06 -3.728995858605709672e+07 -2.858112995335530286e+03 -4.930334544242033362e+08 6.261958381016597152e+06 6.802284901980087161e+07 9.936977278198659420e+06 -7.097740409602241218e+07 5.831609489264403582e+08 -5.389610941562442482e+07 -3.495834022111203074e+08 -3.776692597853548825e+07
-5.091932502738884068e+05 1.389557151069350168e+07 1.142388128749601492e+03 2.539395253574341536e+07 -2.062465510526133701e+06 -1.877914258102891594e+07 -2.810420917817831505e+06 1.988011401595345885e+07 -5.389610941562442482e+07 1.610372431235729158e+07 1.245278475714853704e+08 1.489513312345761061e+07
-6.739998438854842447e+06 1.473375630642763972e+08 1.287741466881645647e+04 -1.847221113989960432e+09 -2.876405191656113416e+07 -6.448958891248562932e+07 -2.806559794961625710e+07 1.706951969816532731e+08 -3.495834022111203074e+08 1.245278475714853704e+08 1.795840331701563358e+09 1.635261850252522826e+08
-7.553832019539722241e+05 4.067886881813635677e+07 5.596102838125593735e+03 -1.862953971116476059e+08 -2.656068268922854681e+06 -1.264575627534890175e+07 -2.680446318677813280e+06 1.980830044908276200e+07 -3.776692597853548825e+07 1.489513312345761061e+07 1.635261850252522826e+08 5.692223604020117968e+07
