# HMCode_logT_AGN m_wdm ombh2 mnu tau nnu ns theta logA omch2
2.675791277195297880e+04 -9.726943663981974169e+03 6.847616421683137305e+06 1.046237760297981004e+05 3.122941699338195613e+05 1.044660062237612001e+05 -6.717346951498205308e+05 1.428124939136428060e+06 -4.925884705552093801e+05 -6.539549152429056354e+06
-9.726943663981974169e+03 4.668643516079433539e+03 -2.453405108220388182e+06 -3.554985336969421041e+04 -1.325943494218879496e+05 -3.574827248506539036e+04 2.459178839624723478e+05 -4.940848241255999892e+05 1.809850174387869192e+05 2.217304511540657841e+06
6.847616421683137305e+06 -2.453405108220388182e+06 1.086498357363712311e+10 2.925931361259103566e+07 -2.395499140248005390e+08 -5.498954234844279708e+05 4.871734445170652866e+07 -4.996263784127982259e+08 2.910899726486775279e+07 -1.800758317160440445e+09
1.046237760297981004e+05 -3.554985336969421041e+04 2.925931361259103566e+07 4.503128745504869730e+05 1.098896470112411538e+06 4.413915688044195995e+05 -2.672782576606868301e+06 6.134548456562402658e+06 -1.996397027594400803e+06 -2.796108705039682612e+07
3.122941699338195613e+05 -1.325943494218879496e+05 -2.395499140248005390e+08 1.098896470112411538e+06 2.961715195892003924e+07 2.648381515854164958e+06 -2.148370521088639274e+07 6.753981062490189075e+07 -1.852229458101176098e+07 -6.185410319939741492e+07
1.044660062237612001e+05 -3.574827248506539036e+04 -5.498954234844279708e+05 4.413915688044195995e+05 2.648381515854164958e+06 5.592432961459597573e+05 -3.679427572013510391e+06 9.844662866492118686e+06 -2.757120530429442413e+06 -2.743190877794385701e+07
-6.717346951498205308e+05 2.459178839624723478e+05 4.871734445170652866e+07 -2.672782576606868301e+06 -2.148370521088639274e+07 -3.679427572013510391e+06 2.575251240354247391e+07 -7.017478130138598382e+07 1.944605149176615849e+07 1.656275145567758381e+08
1.428124939136428060e+06 -4.940848241255999892e+05 -4.996263784127982259e+08 6.134548456562402658e+06 6.753981062490189075e+07 9.844662866492118686e+06 -7.017478130138598382e+07 5.822389393404049873e+08 -5.328302599657034874e+07 -3.426750731265054941e+08
-4.925884705552093801e+05 1.809850174387869192e+05 2.910899726486775279e+07 -1.996397027594400803e+06 -1.852229458101176098e+07 -2.757120530429442413e+06 1.944605149176615849e+07 -5.328302599657034874e+07 1.577667359495111741e+07 1.208005549564196467e+08
-6.539549152429056354e+06 2.217304511540657841e+06 -1.800758317160440445e+09 -2.796108705039682612e+07 -6.185410319939741492e+07 -2.743190877794385701e+07 1.656275145567758381e+08 -3.426750731265054941e+08 1.208005549564196467e+08 1.750255267273806095e+09
