# HMCode_logT_AGN A_ksz m_wdm ombh2 mnu tau nnu ns theta logA omch2 n_ksz
2.763979371829149022e+04 -6.796499114670818672e+05 -3.387360007072368973e+01 7.049822771319406107e+06 1.081715998584862391e+05 3.243001285063300165e+05 1.072838865264594933e+05 -6.942830556943842676e+05 1.459299430657160701e+06 -5.092418219787249691e+05 -6.740584561316194944e+06 -7.555605557164970087e+05
-6.796499114670818672e+05 3.196921715433495864e+07 2.041353833561722922e+03 -1.470043498698137999e+08 -2.392582978972169571e+06 -1.235214024840068817e+07 -2.505811328310643788e+06 1.814158874556835741e+07 -3.729486232299510390e+07 1.389805833100606501e+07 1.473647090831741393e+08 4.069347629398647696e+07
-3.387360007072368973e+01 2.041353833561722922e+03 1.877885582533472819e-01 -8.647398603590374478e+03 -1.197611214237670367e+02 -5.392043044975064277e+02 -1.192500425625339204e+02 8.904013910925384607e+02 -1.641590526693524907e+03 6.563768246857026725e+02 7.379148279407692826e+03 3.101097889495347317e+03
7.049822771319406107e+06 -1.470043498698137999e+08 -8.647398603590374478e+03 1.091216427825518417e+10 3.008487456690628827e+07 -2.370284097576923072e+08 8.466054573200254526e+04 4.355116199581255019e+07 -4.930161889620389938e+08 2.538417016650776565e+07 -1.847343502819974184e+09 -1.863346531835550070e+08
1.081715998584862391e+05 -2.392582978972169571e+06 -1.197611214237670367e+02 3.008487456690628827e+07 4.643898724998802645e+05 1.146379394223498181e+06 4.527614194740532548e+05 -2.762683085155924782e+06 6.262290668265451677e+06 -2.062639204040292418e+06 -2.876616453888630122e+07 -2.656699096127538010e+06
3.243001285063300165e+05 -1.235214024840068817e+07 -5.392043044975064277e+02 -2.370284097576923072e+08 1.146379394223498181e+06 2.984660984740089998e+07 2.687695297939737793e+06 -2.181371049509548396e+07 6.802414463472589850e+07 -1.877983293477489427e+07 -6.449681049273833632e+07 -1.264848285350728035e+07
1.072838865264594933e+05 -2.505811328310643788e+06 -1.192500425625339204e+02 8.466054573200254526e+04 4.527614194740532548e+05 2.687695297939737793e+06 5.679544907200731104e+05 -3.751193351740795188e+06 9.937221885856742039e+06 -2.810561907133525703e+06 -2.806728265207625553e+07 -2.680985209313254803e+06
-6.942830556943842676e+05 1.814158874556835741e+07 8.904013910925384607e+02 4.355116199581255019e+07 -2.762683085155924782e+06 -2.181371049509548396e+07 -3.751193351740795188e+06 2.633781404210981354e+07 -7.097952363668914139e+07 1.988126542879379541e+07 1.707087247242101431e+08 1.981283660078588128e+07
1.459299430657160701e+06 -3.729486232299510390e+07 -1.641590526693524907e+03 -4.930161889620389938e+08 6.262290668265451677e+06 6.802414463472589850e+07 9.937221885856742039e+06 -7.097952363668914139e+07 5.831634297090188265e+08 -5.389773694071929157e+07 -3.496019761747393608e+08 -3.777337170179465413e+07
-5.092418219787249691e+05 1.389805833100606501e+07 6.563768246857026725e+02 2.538417016650776565e+07 -2.062639204040292418e+06 -1.877983293477489427e+07 -2.810561907133525703e+06 1.988126542879379541e+07 -5.389773694071929157e+07 1.610459531537380815e+07 1.245378466446598917e+08 1.489845427194184810e+07
-6.740584561316194944e+06 1.473647090831741393e+08 7.379148279407692826e+03 -1.847343502819974184e+09 -2.876616453888630122e+07 -6.449681049273833632e+07 -2.806728265207625553e+07 1.707087247242101431e+08 -3.496019761747393608e+08 1.245378466446598917e+08 1.795962691330414057e+09 1.635630955266094506e+08
-7.555605557164970087e+05 4.069347629398647696e+07 3.101097889495347317e+03 -1.863346531835550070e+08 -2.656699096127538010e+06 -1.264848285350728035e+07 -2.680985209313254803e+06 1.981283660078588128e+07 -3.777337170179465413e+07 1.489845427194184810e+07 1.635630955266094506e+08 5.694622802098686248e+07
